!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:29:15 2026

BEGIN CH1_DATA
DCV(V), +2.506e-004, DCI(A), +4.021e-006
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+1.49484700000e+003, +9.36742562718e-001, +8.87710933330e+001, +9.97111528989e-005, +2.00901519982e-002
+1.50581400000e+003, +9.43860538741e-001, +8.87827710337e+001, +9.97375318569e-005, +2.00504814986e-002
+1.51686100000e+003, +9.51037608434e-001, +8.87872573748e+001, +9.97642048003e-005, +2.01284935301e-002
+1.52798900000e+003, +9.58010807421e-001, +8.88007398429e+001, +9.97643026831e-005, +2.00506967930e-002
+1.53919900000e+003, +9.65391158219e-001, +8.88113153726e+001, +9.98010718871e-005, +2.00270128182e-002
+1.55049100000e+003, +9.72741383195e-001, +8.88084272890e+001, +9.98284548916e-005, +2.02285150075e-002
+1.56186600000e+003, +9.79912144475e-001, +8.88204349127e+001, +9.98323879411e-005, +2.01723148855e-002
+1.57332400000e+003, +9.87286769723e-001, +8.88124535202e+001, +9.98509014310e-005, +2.04616290051e-002
+1.58486700000e+003, +9.94428899256e-001, +8.88109584734e+001, +9.98406775255e-005, +2.06355929804e-002
+1.59649400000e+003, +1.00152626783e+000, +8.87908467301e+001, +9.98202074390e-005, +2.11343467926e-002
+1.60820600000e+003, +1.00868942248e+000, +8.87737179867e+001, +9.98013562512e-005, +2.15869872738e-002
+1.62000500000e+003, +1.01608233913e+000, +8.87649027613e+001, +9.98002816643e-005, +2.19014962548e-002
+1.63188900000e+003, +1.02348542976e+000, +8.87604320035e+001, +9.97951732965e-005, +2.21409120950e-002
+1.64386100000e+003, +1.03107009289e+000, +8.87532555408e+001, +9.98022665939e-005, +2.24341041391e-002
+1.65592100000e+003, +1.03903625929e+000, +8.87605966183e+001, +9.98411566922e-005, +2.24743364120e-002
+1.66807000000e+003, +1.04684934409e+000, +8.87724086955e+001, +9.98597226695e-005, +2.24275652320e-002
+1.68030700000e+003, +1.05474946369e+000, +8.87762702016e+001, +9.98807385192e-005, +2.25257467491e-002
+1.69263400000e+003, +1.06267279305e+000, +8.87896587839e+001, +9.98986744564e-005, +2.24466973766e-002
+1.70505200000e+003, +1.07053766101e+000, +8.88047198615e+001, +9.99056254165e-005, +2.23314806498e-002
+1.71756100000e+003, +1.07809606434e+000, +8.88209354805e+001, +9.98788328563e-005, +2.21840965254e-002
+1.73016100000e+003, +1.08568194207e+000, +8.88391198390e+001, +9.98497724194e-005, +2.19956933694e-002
+1.74285400000e+003, +1.09341387205e+000, +8.88568295540e+001, +9.98291227153e-005, +2.18144426044e-002
+1.75564100000e+003, +1.10116623736e+000, +8.88778731152e+001, +9.98053929568e-005, +2.15647515366e-002
+1.76852000000e+003, +1.10902668741e+000, +8.88917360522e+001, +9.97862962478e-005, +2.14504046062e-002
+1.78149500000e+003, +1.11709997490e+000, +8.89072921864e+001, +9.97811674953e-005, +2.13033121633e-002
+1.79456400000e+003, +1.12529521446e+000, +8.89305841820e+001, +9.97819527859e-005, +2.10022211178e-002
+1.80773000000e+003, +1.13355303566e+000, +8.89497682255e+001, +9.97827450718e-005, +2.07768663237e-002
+1.82099200000e+003, +1.14193972215e+000, +8.89606702878e+001, +9.97892635942e-005, +2.07133370905e-002
+1.83435100000e+003, +1.15026436944e+000, +8.89707271636e+001, +9.97850038108e-005, +2.06624676849e-002
+1.84780900000e+003, +1.15884865465e+000, +8.89756945810e+001, +9.97976625545e-005, +2.07162157232e-002
+1.86136500000e+003, +1.16726048316e+000, +8.89711109337e+001, +9.97898439722e-005, +2.09599557378e-002
+1.87502000000e+003, +1.17607284655e+000, +8.89627381358e+001, +9.98107405931e-005, +2.12900302550e-002
+1.88877600000e+003, +1.18476222717e+000, +8.89515582176e+001, +9.98155400331e-005, +2.16784711108e-002
+1.90263300000e+003, +1.19350340175e+000, +8.89484703091e+001, +9.98195537851e-005, +2.19027269238e-002
+1.91659100000e+003, +1.20253034364e+000, +8.89466498273e+001, +9.98420142120e-005, +2.21065880103e-002
+1.93065200000e+003, +1.21177238279e+000, +8.89398553651e+001, +9.98763897977e-005, +2.24201625295e-002
+1.94481600000e+003, +1.22112351235e+000, +8.89434019649e+001, +9.99142323285e-005, +2.25176022816e-002
+1.95908300000e+003, +1.23025457249e+000, +8.89391057192e+001, +9.99281462969e-005, +2.27782128719e-002
+1.97345600000e+003, +1.23959108508e+000, +8.89368723195e+001, +9.99531215829e-005, +2.29993899606e-002
+1.98793400000e+003, +1.24884354764e+000, +8.89340051095e+001, +9.99657052873e-005, +2.32335444362e-002
+2.00251800000e+003, +1.25786970718e+000, +8.89342752474e+001, +9.99549323480e-005, +2.33955379629e-002
+2.01720900000e+003, +1.26672719034e+000, +8.89414473398e+001, +9.99259310202e-005, +2.34017438532e-002
+2.03200800000e+003, +1.27571572779e+000, +8.89470190272e+001, +9.99022529469e-005, +2.34437646868e-002
+2.04691500000e+003, +1.28487342119e+000, +8.89543736574e+001, +9.98868560493e-005, +2.34471532409e-002
+2.06193200000e+003, +1.29405120230e+000, +8.89616176681e+001, +9.98679022780e-005, +2.34510527691e-002
+2.07705900000e+003, +1.30343656147e+000, +8.89743429313e+001, +9.98600108749e-005, +2.33316927536e-002
+2.09229700000e+003, +1.31300551155e+000, +8.89991130708e+001, +9.98612690484e-005, +2.29354278510e-002
+2.10764700000e+003, +1.32285127454e+000, +8.90210638401e+001, +9.98780108430e-005, +2.26006863578e-002
+2.12310900000e+003, +1.33258646505e+000, +8.90454218718e+001, +9.98810182358e-005, +2.22005714355e-002
+2.13868500000e+003, +1.34237381366e+000, +8.90569474178e+001, +9.98821655044e-005, +2.20936331404e-002
+2.15437500000e+003, +1.35237961147e+000, +8.90696452976e+001, +9.98941806404e-005, +2.19586407980e-002
+2.17018000000e+003, +1.36232146603e+000, +8.90718991352e+001, +9.98957461775e-005, +2.20664846429e-002
+2.18610100000e+003, +1.37248106032e+000, +8.90701711766e+001, +9.99077266577e-005, +2.22724333992e-002
+2.20213900000e+003, +1.38247550321e+000, +8.90662714508e+001, +9.99022283108e-005, +2.25287049047e-002
+2.21829500000e+003, +1.39262473884e+000, +8.90664087723e+001, +9.99027128192e-005, +2.26907587213e-002
+2.23456900000e+003, +1.40308509408e+000, +8.90673704625e+001, +9.99200944856e-005, +2.28376475429e-002
+2.25096200000e+003, +1.41324637877e+000, +8.90702296650e+001, +9.99108525491e-005, +2.29325248935e-002
+2.26747600000e+003, +1.42375874425e+000, +8.90714568577e+001, +9.99210072442e-005, +2.30726165387e-002
+2.28411100000e+003, +1.43426571561e+000, +8.90729921731e+001, +9.99253546354e-005, +2.32044584950e-002
+2.30086800000e+003, +1.44465555905e+000, +8.90735138428e+001, +9.99162116541e-005, +2.33594003009e-002
+2.31774800000e+003, +1.45507432572e+000, +8.90746073281e+001, +9.99039010845e-005, +2.35001005037e-002
+2.33475100000e+003, +1.46563427454e+000, +8.90849825068e+001, +9.98963890120e-005, +2.34052840597e-002
+2.35188000000e+003, +1.47584328281e+000, +8.90813965385e+001, +9.98595021228e-005, +2.36606723964e-002
+2.36913400000e+003, +1.48630269359e+000, +8.90897861788e+001, +9.98350332276e-005, +2.36107504367e-002
+2.38651500000e+003, +1.49694973072e+000, +8.90968136194e+001, +9.98180815058e-005, +2.35963037285e-002
+2.40402300000e+003, +1.50755895541e+000, +8.91061249656e+001, +9.97936629657e-005, +2.35185673425e-002
+2.42166000000e+003, +1.51847639746e+000, +8.91126687428e+001, +9.97844633274e-005, +2.35154791940e-002
+2.43942600000e+003, +1.52964084820e+000, +8.91416574788e+001, +9.97868286376e-005, +2.29145441996e-002
+2.45732200000e+003, +1.54119851715e+000, +8.91688795002e+001, +9.98092867374e-005, +2.23555167891e-002
+2.47535000000e+003, +1.55268393012e+000, +8.91878163524e+001, +9.98212354853e-005, +2.20089904760e-002
+2.49351000000e+003, +1.56429142451e+000, +8.92030238304e+001, +9.98354238292e-005, +2.17583702620e-002
+2.51180300000e+003, +1.57574997464e+000, +8.92129347361e+001, +9.98345554138e-005, +2.16452079954e-002
+2.53023000000e+003, +1.58752838947e+000, +8.92045050238e+001, +9.98480922693e-005, +2.20405463793e-002
+2.54879300000e+003, +1.59912963893e+000, +8.91825043406e+001, +9.98447034239e-005, +2.28155929659e-002
+2.56749100000e+003, +1.61068579005e+000, +8.91615713572e+001, +9.98333233434e-005, +2.35688722042e-002
+2.58632700000e+003, +1.62258686209e+000, +8.91444653254e+001, +9.98380835581e-005, +2.42273994761e-002
+2.60530100000e+003, +1.63442526070e+000, +8.91406251511e+001, +9.98339922499e-005, +2.45136955929e-002
+2.62441500000e+003, +1.64628631162e+000, +8.91352046745e+001, +9.98259648109e-005, +2.48473214397e-002
+2.64366800000e+003, +1.65822143662e+000, +8.91447212984e+001, +9.98176530395e-005, +2.47520640989e-002
+2.66306300000e+003, +1.67016133301e+000, +8.91567496962e+001, +9.98044898339e-005, +2.45797023958e-002
+2.68260000000e+003, +1.68234803131e+000, +8.91702409918e+001, +9.98009124626e-005, +2.43629574685e-002
+2.70228000000e+003, +1.69454311543e+000, +8.91793434395e+001, +9.97924897609e-005, +2.42703806136e-002
+2.72210500000e+003, +1.70676006000e+000, +8.91895764113e+001, +9.97801802024e-005, +2.41405650236e-002
+2.74207500000e+003, +1.71914448634e+000, +8.92010658668e+001, +9.97725238990e-005, +2.39710274123e-002
+2.76219200000e+003, +1.73161037461e+000, +8.92104149873e+001, +9.97643109884e-005, +2.38623217163e-002
+2.78245600000e+003, +1.74417959969e+000, +8.92177967210e+001, +9.97568107418e-005, +2.38108397280e-002
+2.80286900000e+003, +1.75685728030e+000, +8.92297690021e+001, +9.97503827727e-005, +2.36168386397e-002
+2.82343200000e+003, +1.76972494195e+000, +8.92372006061e+001, +9.97493515890e-005, +2.35602909365e-002
+2.84414600000e+003, +1.78286521342e+000, +8.92415857569e+001, +9.97582238621e-005, +2.35987868098e-002
+2.86501100000e+003, +1.79619919496e+000, +8.92438655044e+001, +9.97724221153e-005, +2.37038183390e-002
+2.88603000000e+003, +1.80958144470e+000, +8.92518150860e+001, +9.97838820615e-005, +2.36293680213e-002
+2.90720300000e+003, +1.82289488140e+000, +8.92553006430e+001, +9.97860230886e-005, +2.36923284109e-002
+2.92853100000e+003, +1.83638415936e+000, +8.92582038929e+001, +9.97923947934e-005, +2.37746056821e-002
+2.95001500000e+003, +1.84998849323e+000, +8.92614832047e+001, +9.97996128584e-005, +2.38448582742e-002
+2.97165800000e+003, +1.86294215837e+000, +8.92688509763e+001, +9.97666327961e-005, +2.37722810415e-002
+2.99345900000e+003, +1.87625400490e+000, +8.92690719897e+001, +9.97477502970e-005, +2.39349114471e-002
+3.01541900000e+003, +1.88968352651e+000, +8.92714148858e+001, +9.97301397640e-005, +2.40289633011e-002
