!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:54:32 2026

BEGIN CH1_DATA
DCV(V), +4.164e-005, DCI(A), -3.882e-007
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+1.49484700000e+003, +1.69312938010e+001, +8.59748761146e+001, +1.79821230291e-003, +1.18847343210e+000
+1.50581400000e+003, +1.70527938338e+001, +8.59578783200e+001, +1.79788822668e-003, +1.20204847036e+000
+1.51686100000e+003, +1.71750633832e+001, +8.59401843404e+001, +1.79755232998e-003, +1.21595795037e+000
+1.52798900000e+003, +1.72985046033e+001, +8.59218795365e+001, +1.79724565718e-003, +1.23020990642e+000
+1.53919900000e+003, +1.74225825628e+001, +8.59043403405e+001, +1.79691431648e-003, +1.24435368410e+000
+1.55049100000e+003, +1.75475968054e+001, +8.58860245421e+001, +1.79658613673e-003, +1.25887750494e+000
+1.56186600000e+003, +1.76733838737e+001, +8.58675986884e+001, +1.79624477715e-003, +1.27357046680e+000
+1.57332400000e+003, +1.77999580442e+001, +8.58486661180e+001, +1.79589109777e-003, +1.28855797064e+000
+1.58486700000e+003, +1.79279203762e+001, +8.58297523712e+001, +1.79558450620e-003, +1.30372383720e+000
+1.59649400000e+003, +1.80559565534e+001, +8.58091409988e+001, +1.79519052759e-003, +1.31951276782e+000
+1.60820600000e+003, +1.81853730233e+001, +8.57899192508e+001, +1.79484592265e-003, +1.33505489687e+000
+1.62000500000e+003, +1.83156240415e+001, +8.57701662722e+001, +1.79448963775e-003, +1.35091437671e+000
+1.63188900000e+003, +1.84466627406e+001, +8.57507089946e+001, +1.79412149414e-003, +1.36682668806e+000
+1.64386100000e+003, +1.85786058411e+001, +8.57314774961e+001, +1.79374965220e-003, +1.38282190835e+000
+1.65592100000e+003, +1.87118181521e+001, +8.57122248505e+001, +1.79340864401e-003, +1.39900708155e+000
+1.66807000000e+003, +1.88459870318e+001, +8.56928785189e+001, +1.79306684799e-003, +1.41538393866e+000
+1.68030700000e+003, +1.89809746971e+001, +8.56741393090e+001, +1.79271402913e-003, +1.43171219882e+000
+1.69263400000e+003, +1.91165755737e+001, +8.56544375107e+001, +1.79232539785e-003, +1.44849504829e+000
+1.70505200000e+003, +1.92533593006e+001, +8.56355941898e+001, +1.79195801894e-003, +1.46517310494e+000
+1.71756100000e+003, +1.93907663574e+001, +8.56163700867e+001, +1.79155688143e-003, +1.48211684426e+000
+1.73016100000e+003, +1.95292114244e+001, +8.55965590147e+001, +1.79116027802e-003, +1.49943151771e+000
+1.74285400000e+003, +1.96683493620e+001, +8.55776476471e+001, +1.79073822721e-003, +1.51658697730e+000
