Freq.	1/S12         v1)
9.48262533352429e+003	         2.46435046897724e+001         8.63442346078512e+001         
9.48399000590945e+003	         2.46447811915048e+001         8.63447184067065e+001         
9.48535487468861e+003	         2.46460576856783e+001         8.63452021234771e+001         
9.48671993989003e+003	         2.46473341722951e+001         8.63456857581759e+001         
9.48808520154198e+003	         2.46486106513574e+001         8.63461693108156e+001         
9.48945065967273e+003	         2.46498871228674e+001         8.63466527814092e+001         
9.49081631431056e+003	         2.46511635868275e+001         8.63471361699694e+001         
9.49218216548376e+003	         2.46524400432399e+001         8.63476194765090e+001         
9.49354821322059e+003	         2.46537164921067e+001         8.63481027010409e+001         
9.49491445754936e+003	         2.46549929334303e+001         8.63485858435777e+001         
9.49628089849834e+003	         2.46562693672129e+001         8.63490689041325e+001         
9.49764753609585e+003	         2.46575457934567e+001         8.63495518827178e+001         
9.49901437037018e+003	         2.46588222121640e+001         8.63500347793465e+001         
9.50038140134963e+003	         2.46600986233369e+001         8.63505175940315e+001         
9.50174862906251e+003	         2.46613750269778e+001         8.63510003267855e+001         
9.50311605353714e+003	         2.46626514230888e+001         8.63514829776212e+001         
9.50448367480183e+003	         2.46639278116723e+001         8.63519655465516e+001         
9.50585149288490e+003	         2.46652041927304e+001         8.63524480335893e+001         
9.50721950781467e+003	         2.46664805662653e+001         8.63529304387470e+001         
9.50858771961949e+003	         2.46677569322794e+001         8.63534127620377e+001         
9.50995612832767e+003	         2.46690332907748e+001         8.63538950034741e+001         
9.51132473396755e+003	         2.46703096417538e+001         8.63543771630689e+001         
9.51269353656748e+003	         2.46715859852186e+001         8.63548592408349e+001         
9.51406253615581e+003	         2.46728623211714e+001         8.63553412367848e+001         
9.51543173276087e+003	         2.46741386496145e+001         8.63558231509315e+001         
9.51680112641102e+003	         2.46754149705501e+001         8.63563049832876e+001         
9.51817071713463e+003	         2.46766912839804e+001         8.63567867338660e+001         
9.51954050496005e+003	         2.46779675899077e+001         8.63572684026793e+001         
9.52091048991565e+003	         2.46792438883341e+001         8.63577499897404e+001         
9.52228067202979e+003	         2.46805201792620e+001         8.63582314950619e+001         
9.52365105133086e+003	         2.46817964626935e+001         8.63587129186566e+001         
9.52502162784723e+003	         2.46830727386309e+001         8.63591942605373e+001         
9.52639240160727e+003	         2.46843490070763e+001         8.63596755207167e+001         
9.52776337263938e+003	         2.46856252680321e+001         8.63601566992074e+001         
