Freq.	S12   v1)/S21   v1)
9.48945065967272e+003	   -3.87992176244156e+000   6.77560851313828e+001    
9.49081631431056e+003	   -3.87815082970574e+000   6.77741193373355e+001    
9.49218216548375e+003	   -3.87637875941297e+000   6.77921487617328e+001    
9.49354821322058e+003	   -3.87460555233823e+000   6.78101733997876e+001    
9.49491445754935e+003	   -3.87283120925719e+000   6.78281932467178e+001    
9.49628089849833e+003	   -3.87105573094597e+000   6.78462082977540e+001    
9.49764753609584e+003	   -3.86927911818131e+000   6.78642185481327e+001    
9.49901437037017e+003	   -3.86750137174067e+000   6.78822239930904e+001    
9.50038140134962e+003	   -3.86572249240188e+000   6.79002246278840e+001    
9.50174862906250e+003	   -3.86394248094351e+000   6.79182204477664e+001    
9.50311605353713e+003	   -3.86216133814465e+000   6.79362114480031e+001    
9.50448367480182e+003	   -3.86037906478500e+000   6.79541976238646e+001    
9.50585149288489e+003	   -3.85859566164472e+000   6.79721789706341e+001    
9.50721950781466e+003	   -3.85681112950477e+000   6.79901554835920e+001    
9.50858771961948e+003	   -3.85502546914645e+000   6.80081271580365e+001    
9.50995612832766e+003	   -3.85323868135172e+000   6.80260939892694e+001    
9.51132473396754e+003	   -3.85145076690317e+000   6.80440559725956e+001    
9.51269353656747e+003	   -3.84966172658390e+000   6.80620131033316e+001    
