Freq.	1/S21       v1)
9.03893768310699e+003	       1.19887877466464e+001       -1.41115089723276e+002       
9.04023850310287e+003	       1.19995605627397e+001       -1.41063428131120e+002       
9.04153951030357e+003	       1.20103327079465e+001       -1.41011864006842e+002       
9.04284070473602e+003	       1.20211041571872e+001       -1.40960397158112e+002       
9.04414208642717e+003	       1.20318748855313e+001       -1.40909027392698e+002       
9.04544365540398e+003	       1.20426448681974e+001       -1.40857754518472e+002       
9.04674541169339e+003	       1.20534140805518e+001       -1.40806578343416e+002       
9.04804735532235e+003	       1.20641824981085e+001       -1.40755498675616e+002       
9.04934948631784e+003	       1.20749500965283e+001       -1.40704515323277e+002       
9.05065180470682e+003	       1.20857168516182e+001       -1.40653628094716e+002       
9.05195431051625e+003	       1.20964827393309e+001       -1.40602836798370e+002       
9.05325700377310e+003	       1.21072477357640e+001       -1.40552141242798e+002       
9.05455988450436e+003	       1.21180118171597e+001       -1.40501541236684e+002       
9.05586295273700e+003	       1.21287749599037e+001       -1.40451036588840e+002       
9.05716620849800e+003	       1.21395371405251e+001       -1.40400627108208e+002       
9.05846965181436e+003	       1.21502983356954e+001       -1.40350312603863e+002       
9.05977328271306e+003	       1.21610585222284e+001       -1.40300092885016e+002       
9.06107710122111e+003	       1.21718176770787e+001       -1.40249967761018e+002       
9.06238110736549e+003	       1.21825757773422e+001       -1.40199937041362e+002       
9.06368530117322e+003	       1.21933328002546e+001       -1.40150000535682e+002       
9.06498968267130e+003	       1.22040887231912e+001       -1.40100158053763e+002       
9.06629425188674e+003	       1.22148435236663e+001       -1.40050409405538e+002       
9.06759900884656e+003	       1.22255971793325e+001       -1.40000754401091e+002       
9.06890395357777e+003	       1.22363496679800e+001       -1.39951192850663e+002       
9.07020908610740e+003	       1.22471009675365e+001       -1.39901724564650e+002       
9.07151440646247e+003	       1.22578510560658e+001       -1.39852349353611e+002       
9.07281991467003e+003	       1.22685999117678e+001       -1.39803067028264e+002       
9.07412561075709e+003	       1.22793475129779e+001       -1.39753877399494e+002       
9.07543149475070e+003	       1.22900938381660e+001       -1.39704780278352e+002       
9.07673756667790e+003	       1.23008388659362e+001       -1.39655775476060e+002       
9.07804382656573e+003	       1.23115825750263e+001       -1.39606862804011e+002       
9.07935027444125e+003	       1.23223249443070e+001       -1.39558042073772e+002       
9.08065691033152e+003	       1.23330659527812e+001       -1.39509313097089e+002       
9.08196373426358e+003	       1.23438055795839e+001       -1.39460675685884e+002       
9.08327074626450e+003	       1.23545438039810e+001       -1.39412129652262e+002       
9.08457794636134e+003	       1.23652806053692e+001       -1.39363674808511e+002       
9.08588533458118e+003	       1.23760159632751e+001       -1.39315310967106e+002       
9.08719291095109e+003	       1.23867498573549e+001       -1.39267037940707e+002       
9.08850067549814e+003	       1.23974822673936e+001       -1.39218855542168e+002       
9.08980862824942e+003	       1.24082131733044e+001       -1.39170763584531e+002       
9.09111676923201e+003	       1.24189425551282e+001       -1.39122761881036e+002       
9.09242509847300e+003	       1.24296703930333e+001       -1.39074850245117e+002       
9.09373361599948e+003	       1.24403966673141e+001       -1.39027028490408e+002       
9.09504232183855e+003	       1.24511213583913e+001       -1.38979296430742e+002       
9.09635121601732e+003	       1.24618444468109e+001       -1.38931653880155e+002       
9.09766029856288e+003	       1.24725659132437e+001       -1.38884100652889e+002       
9.09896956950234e+003	       1.24832857384849e+001       -1.38836636563390e+002       
9.10027902886281e+003	       1.24940039034532e+001       -1.38789261426314e+002       
9.10158867667142e+003	       1.25047203891904e+001       -1.38741975056527e+002       
9.10289851295528e+003	       1.25154351768611e+001       -1.38694777269106e+002       
9.10420853774152e+003	       1.25261482477516e+001       -1.38647667879345e+002       
9.10551875105726e+003	       1.25368595832699e+001       -1.38600646702749e+002       
9.10682915292964e+003	       1.25475691649445e+001       -1.38553713555046e+002       
9.10813974338579e+003	       1.25582769744246e+001       -1.38506868252180e+002       
9.10945052245284e+003	       1.25689829934789e+001       -1.38460110610317e+002       
9.11076149015796e+003	       1.25796872039954e+001       -1.38413440445845e+002       
9.11207264652827e+003	       1.25903895879805e+001       -1.38366857575380e+002       
9.11338399159094e+003	       1.26010901275589e+001       -1.38320361815760e+002       
9.11469552537312e+003	       1.26117888049729e+001       -1.38273952984055e+002       
9.11600724790197e+003	       1.26224856025815e+001       -1.38227630897561e+002       
9.11731915920464e+003	       1.26331805028602e+001       -1.38181395373808e+002       
9.11863125930832e+003	       1.26438734884006e+001       -1.38135246230559e+002       
9.11994354824016e+003	       1.26545645419093e+001       -1.38089183285808e+002       
9.12125602602735e+003	       1.26652536462079e+001       -1.38043206357790e+002       
