!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:52:03 2026

BEGIN CH1_DATA
DCV(V), +1.851e-004, DCI(A), -2.556e-006
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+5.95079700000e+003, +7.17104266083e+001, +7.75724131379e+001, +1.87296704463e-003, +1.54324819399e+001
+5.99445400000e+003, +7.21893951634e+001, +7.75053211086e+001, +1.87126095434e-003, +1.56180993792e+001
+6.03843100000e+003, +7.26707253546e+001, +7.74378274652e+001, +1.86952935062e-003, +1.58058013859e+001
+6.08273100000e+003, +7.31565515787e+001, +7.73704648326e+001, +1.86783032368e-003, +1.59954081337e+001
+6.12735600000e+003, +7.36440727760e+001, +7.73016440783e+001, +1.86608008147e-003, +1.61883083806e+001
+6.17230800000e+003, +7.41354547140e+001, +7.72332937900e+001, +1.86434762469e-003, +1.63825872912e+001
+6.21759000000e+003, +7.46305942553e+001, +7.71647902717e+001, +1.86262474148e-003, +1.65790156154e+001
+6.26320400000e+003, +7.51292330902e+001, +7.70955179826e+001, +1.86089975593e-003, +1.67783386784e+001
+6.30915300000e+003, +7.56300090243e+001, +7.70260247762e+001, +1.85914238540e-003, +1.69795764551e+001
+6.35543900000e+003, +7.61348793636e+001, +7.69560238441e+001, +1.85739846738e-003, +1.71835543376e+001
+6.40206400000e+003, +7.66418807894e+001, +7.68853561727e+001, +1.85561839818e-003, +1.73900605116e+001
+6.44903200000e+003, +7.71516643966e+001, +7.68142653580e+001, +1.85381930724e-003, +1.75989476472e+001
+6.49634400000e+003, +7.76640701331e+001, +7.67425520299e+001, +1.85199604560e-003, +1.78104620072e+001
+6.54400300000e+003, +7.81798196350e+001, +7.66701823730e+001, +1.85016511742e-003, +1.80248392893e+001
+6.59201200000e+003, +7.86982500830e+001, +7.65976660293e+001, +1.84831418210e-003, +1.82412729853e+001
+6.64037300000e+003, +7.92200826418e+001, +7.65250503314e+001, +1.84646043106e-003, +1.84598803697e+001
+6.68908900000e+003, +7.97446019229e+001, +7.64516221166e+001, +1.84458115462e-003, +1.86814731838e+001
+6.73816200000e+003, +8.02721442893e+001, +7.63795816651e+001, +1.84270118733e-003, +1.89031646957e+001
+6.78759500000e+003, +8.08024769926e+001, +7.63063354567e+001, +1.84079468290e-003, +1.91284282316e+001
+6.83739100000e+003, +8.13365042299e+001, +7.62329277475e+001, +1.83888991783e-003, +1.93560797815e+001
+6.88755200000e+003, +8.18740228021e+001, +7.61585807245e+001, +1.83697573832e-003, +1.95871671175e+001
+6.93808100000e+003, +8.24144279895e+001, +7.60835967155e+001, +1.83504039713e-003, +1.98211595007e+001
+6.98898100000e+003, +8.29580581898e+001, +7.60070415729e+001, +1.83308360213e-003, +2.00594779571e+001
+7.04025500000e+003, +8.35050138097e+001, +7.59304269732e+001, +1.83111908139e-003, +2.03000626850e+001
+7.09190400000e+003, +8.40557942882e+001, +7.58529718868e+001, +1.82915148697e-003, +2.05441604132e+001
+7.14393300000e+003, +8.46094932228e+001, +7.57751851855e+001, +1.82716406878e-003, +2.07908563886e+001
+7.19634300000e+003, +8.51663884907e+001, +7.56973828206e+001, +1.82516561535e-003, +2.10397835796e+001
+7.24913700000e+003, +8.57265640959e+001, +7.56187214927e+001, +1.82315069366e-003, +2.12921971414e+001
+7.30231900000e+003, +8.62909329428e+001, +7.55396740711e+001, +1.82114173765e-003, +2.15476706264e+001
+7.35589100000e+003, +8.68583744259e+001, +7.54604004159e+001, +1.81911601665e-003, +2.18057143633e+001
+7.40985600000e+003, +8.74292379822e+001, +7.53809473579e+001, +1.81708092758e-003, +2.20663648622e+001
+7.46421700000e+003, +8.80028869442e+001, +7.53011262447e+001, +1.81502137160e-003, +2.23297584814e+001
+7.51897700000e+003, +8.85802416557e+001, +7.52207501492e+001, +1.81295452055e-003, +2.25964297123e+001
+7.57413900000e+003, +8.91601133343e+001, +7.51408627592e+001, +1.81086443564e-003, +2.28645331611e+001
+7.62970500000e+003, +8.97435662868e+001, +7.50607115199e+001, +1.80876660941e-003, +2.31354776364e+001
+7.68567900000e+003, +9.03310008456e+001, +7.49795806452e+001, +1.80666232621e-003, +2.34104775713e+001
+7.74206300000e+003, +9.09204849393e+001, +7.48979618311e+001, +1.80451697689e-003, +2.36883188604e+001
+7.79886100000e+003, +9.15132606925e+001, +7.48155758025e+001, +1.80235268482e-003, +2.39697782899e+001
+7.85607600000e+003, +9.21098273748e+001, +7.47319290502e+001, +1.80017466606e-003, +2.42557867973e+001
+7.91371100000e+003, +9.27099936688e+001, +7.46470144049e+001, +1.79797856904e-003, +2.45463553317e+001
+7.97176800000e+003, +9.33135920495e+001, +7.45621575183e+001, +1.79577238890e-003, +2.48394083334e+001
+8.03025200000e+003, +9.39196431071e+001, +7.44764203005e+001, +1.79352857871e-003, +2.51361770318e+001
+8.08916400000e+003, +9.45297097772e+001, +7.43902371523e+001, +1.79128109709e-003, +2.54364261562e+001
+8.14850900000e+003, +9.51421371885e+001, +7.43033484384e+001, +1.78899557646e-003, +2.57401519250e+001
+8.20828900000e+003, +9.57578522502e+001, +7.42158001995e+001, +1.78669011784e-003, +2.60475616619e+001
+8.26850700000e+003, +9.63772093191e+001, +7.41281002097e+001, +1.78437556602e-003, +2.63579628260e+001
+8.32916800000e+003, +9.69994635487e+001, +7.40395245696e+001, +1.78203107794e-003, +2.66723478921e+001
+8.39027300000e+003, +9.76263514156e+001, +7.39514023844e+001, +1.77970057101e-003, +2.69890574658e+001
+8.45182700000e+003, +9.82554003676e+001, +7.38627490238e+001, +1.77732944662e-003, +2.73090320227e+001
+8.51383200000e+003, +9.88889898682e+001, +7.37740633865e+001, +1.77496545324e-003, +2.76321333760e+001
+8.57629200000e+003, +9.95250407000e+001, +7.36850015375e+001, +1.77256763802e-003, +2.79583704054e+001
+8.63921000000e+003, +1.00165192289e+002, +7.35959354275e+001, +1.77016859719e-003, +2.82876028764e+001
+8.70259000000e+003, +1.00808928943e+002, +7.35057154424e+001, +1.76774819899e-003, +2.86216406480e+001
+8.76643500000e+003, +1.01455104114e+002, +7.34153351895e+001, +1.76529531836e-003, +2.89585193345e+001
+8.83074800000e+003, +1.02106862207e+002, +7.33249926013e+001, +1.76286636901e-003, +2.92988174339e+001
+8.89553300000e+003, +1.02762712950e+002, +7.32335304737e+001, +1.76042397745e-003, +2.96441147378e+001
+8.96079400000e+003, +1.03420904138e+002, +7.31419614131e+001, +1.75794712467e-003, +2.99922048272e+001
+9.02653300000e+003, +1.04081254925e+002, +7.30497291249e+001, +1.75542814174e-003, +3.03440137650e+001
+9.09275400000e+003, +1.04745480713e+002, +7.29564479609e+001, +1.75289230792e-003, +3.07007467096e+001
+9.15946200000e+003, +1.05413304553e+002, +7.28615877949e+001, +1.75032931892e-003, +3.10633023559e+001
+9.22665800000e+003, +1.06081898926e+002, +7.27645382941e+001, +1.74768692574e-003, +3.14319857771e+001
+9.29434800000e+003, +1.06755107673e+002, +7.26674578294e+001, +1.74504865403e-003, +3.18041720547e+001
+9.36253400000e+003, +1.07432495834e+002, +7.25702404775e+001, +1.74240617386e-003, +3.21799415301e+001
+9.43122100000e+003, +1.08112456730e+002, +7.24733863092e+001, +1.73973776770e-003, +3.25579328537e+001
+9.50041100000e+003, +1.08796777359e+002, +7.23754845293e+001, +1.73705896260e-003, +3.29412391223e+001
+9.57010900000e+003, +1.09486792191e+002, +7.22791550153e+001, +1.73441542930e-003, +3.33255495176e+001
+9.64031800000e+003, +1.10180131938e+002, +7.21823803841e+001, +1.73174973461e-003, +3.37138080871e+001
+9.71104200000e+003, +1.10876532312e+002, +7.20848838139e+001, +1.72905492321e-003, +3.41064710530e+001
+9.78228600000e+003, +1.11575996704e+002, +7.19873128800e+001, +1.72633715651e-003, +3.45023755763e+001
+9.85405200000e+003, +1.12277300094e+002, +7.18888923444e+001, +1.72357038656e-003, +3.49025996160e+001
+9.92634400000e+003, +1.12982322161e+002, +7.17898176815e+001, +1.72078555487e-003, +3.53073979858e+001
+9.99916700000e+003, +1.13690415169e+002, +7.16906971100e+001, +1.71797847125e-003, +3.57154580946e+001
+1.00725240000e+004, +1.14400480210e+002, +7.15904866213e+001, +1.71512248772e-003, +3.61284248358e+001
+1.01464190000e+004, +1.15115180649e+002, +7.14901691171e+001, +1.71226737586e-003, +3.65453132235e+001
+1.02208560000e+004, +1.15834141308e+002, +7.13886418880e+001, +1.70939603291e-003, +3.69681401574e+001
+1.02958390000e+004, +1.16556757313e+002, +7.12870656177e+001, +1.70651083429e-003, +3.73945329617e+001
+1.03713730000e+004, +1.17285493722e+002, +7.11838689864e+001, +1.70363139394e-003, +3.78283484853e+001
+1.04474600000e+004, +1.18017072113e+002, +7.10809601632e+001, +1.70072906530e-003, +3.82648867648e+001
+1.05241060000e+004, +1.18751364491e+002, +7.09768663216e+001, +1.69778688449e-003, +3.87069941231e+001
+1.06013140000e+004, +1.19489814948e+002, +7.08720791054e+001, +1.69483064463e-003, +3.91542247609e+001
+1.06790890000e+004, +1.20231890283e+002, +7.07666258617e+001, +1.69185265010e-003, +3.96063900532e+001
+1.07574340000e+004, +1.20976764605e+002, +7.06592065910e+001, +1.68882796177e-003, +4.00658441069e+001
+1.08363540000e+004, +1.21726408273e+002, +7.05521797402e+001, +1.68580820666e-003, +4.05285945553e+001
+1.09158530000e+004, +1.22478939834e+002, +7.04439354937e+001, +1.68275039979e-003, +4.09972632933e+001
+1.09959350000e+004, +1.23234073409e+002, +7.03360779589e+001, +1.67966752943e-003, +4.14685574270e+001
+1.10766040000e+004, +1.23993032826e+002, +7.02276636987e+001, +1.67656660646e-003, +4.19448097991e+001
+1.11578660000e+004, +1.24753594456e+002, +7.01196363568e+001, +1.67342734314e-003, +4.24233674454e+001
+1.12397230000e+004, +1.25517908775e+002, +7.00115484168e+001, +1.67027463177e-003, +4.29058788758e+001
+1.13221810000e+004, +1.26285106175e+002, +6.99034847962e+001, +1.66709757474e-003, +4.33918879365e+001
+1.14052440000e+004, +1.27058547981e+002, +6.97947805965e+001, +1.66393335919e-003, +4.38839501877e+001
+1.14889170000e+004, +1.27831751491e+002, +6.96851531457e+001, +1.66069372933e-003, +4.43804576954e+001
+1.15732030000e+004, +1.28611533923e+002, +6.95739965248e+001, +1.65746130319e-003, +4.48850900918e+001
+1.16581080000e+004, +1.29394420734e+002, +6.94620228403e+001, +1.65419802487e-003, +4.53952059466e+001
+1.17436350000e+004, +1.30180397116e+002, +6.93494670598e+001, +1.65090653025e-003, +4.59103410860e+001
+1.18297900000e+004, +1.30970282788e+002, +6.92371643784e+001, +1.64760612509e-003, +4.64290335761e+001
+1.19165770000e+004, +1.31762128833e+002, +6.91237100389e+001, +1.64425715140e-003, +4.69536161687e+001
+1.20040010000e+004, +1.32556140225e+002, +6.90105657651e+001, +1.64087852144e-003, +4.74810506148e+001
+1.20920660000e+004, +1.33355510179e+002, +6.88972104686e+001, +1.63750427676e-003, +4.80136152599e+001
+1.21807770000e+004, +1.34156755922e+002, +6.87827542261e+001, +1.63408157348e-003, +4.85520247659e+001
+1.22701390000e+004, +1.34960872552e+002, +6.86687059409e+001, +1.63063956604e-003, +4.90933739431e+001
+1.23601560000e+004, +1.35767319624e+002, +6.85539445840e+001, +1.62715966645e-003, +4.96399352534e+001
+1.24508340000e+004, +1.36578249550e+002, +6.84382363070e+001, +1.62366499639e-003, +5.01930509643e+001
+1.25421780000e+004, +1.37391028282e+002, +6.83232250577e+001, +1.62014261348e-003, +5.07481377948e+001
+1.26341910000e+004, +1.38205998683e+002, +6.82084144232e+001, +1.61659179641e-003, +5.13064167013e+001
+1.27268790000e+004, +1.39023279829e+002, +6.80919941730e+001, +1.61299375248e-003, +5.18720080009e+001
+1.28202470000e+004, +1.39846527342e+002, +6.79747591637e+001, +1.60939978070e-003, +5.24445474985e+001
+1.29143010000e+004, +1.40670625650e+002, +6.78564689453e+001, +1.60574789551e-003, +5.30227108212e+001
+1.30090440000e+004, +1.41501069402e+002, +6.77373115112e+001, +1.60210339583e-003, +5.36081859353e+001
+1.31044820000e+004, +1.42337380879e+002, +6.76160725449e+001, +1.59844602805e-003, +5.42036416013e+001
+1.32006210000e+004, +1.43175873191e+002, +6.74945735481e+001, +1.59475479292e-003, +5.48035622457e+001
+1.32974650000e+004, +1.44017186145e+002, +6.73724509557e+001, +1.59103311034e-003, +5.54090537531e+001
+1.33950190000e+004, +1.44860205070e+002, +6.72500862410e+001, +1.58727341704e-003, +5.60188281269e+001
+1.34932890000e+004, +1.45708138780e+002, +6.71277095041e+001, +1.58351372190e-003, +5.66336061095e+001
+1.35922800000e+004, +1.46555919094e+002, +6.70053838569e+001, +1.57969988109e-003, +5.72512828737e+001
+1.36919970000e+004, +1.47408673836e+002, +6.68824932769e+001, +1.57588058862e-003, +5.78753207722e+001
+1.37924460000e+004, +1.48261664177e+002, +6.67597954215e+001, +1.57201408758e-003, +5.85020914649e+001
+1.38936320000e+004, +1.49118858609e+002, +6.66359509233e+001, +1.56812729498e-003, +5.91363574885e+001
+1.39955600000e+004, +1.49980001005e+002, +6.65131323623e+001, +1.56424313587e-003, +5.97728594585e+001
+1.40982350000e+004, +1.50844716068e+002, +6.63906504819e+001, +1.56034968237e-003, +6.04130914453e+001
+1.42016640000e+004, +1.51711973192e+002, +6.62690487469e+001, +1.55644280900e-003, +6.10553245446e+001
+1.43058520000e+004, +1.52581345841e+002, +6.61457888911e+001, +1.55248827548e-003, +6.17055465737e+001
+1.44108040000e+004, +1.53456167313e+002, +6.60227827618e+001, +1.54854302180e-003, +6.23604974043e+001
+1.45165260000e+004, +1.54333740224e+002, +6.58982837487e+001, +1.54455859765e-003, +6.30233871559e+001
+1.46230240000e+004, +1.55217143852e+002, +6.57724157488e+001, +1.54056715152e-003, +6.36952352464e+001
+1.47303030000e+004, +1.56104457791e+002, +6.56459304373e+001, +1.53655835805e-003, +6.43734601277e+001
+1.48383690000e+004, +1.56995944704e+002, +6.55195278697e+001, +1.53254322787e-003, +6.50564631862e+001
+1.49472280000e+004, +1.57888698288e+002, +6.53909724464e+001, +1.52846625991e-003, +6.57486506882e+001
+1.50568860000e+004, +1.58782595236e+002, +6.52628001217e+001, +1.52435775130e-003, +6.64436636895e+001
+1.51673480000e+004, +1.59680950558e+002, +6.51330127673e+001, +1.52022551620e-003, +6.71479349696e+001
+1.52786200000e+004, +1.60575145192e+002, +6.50019837004e+001, +1.51599248396e-003, +6.78569501270e+001
+1.53907090000e+004, +1.61471879945e+002, +6.48698909898e+001, +1.51172528389e-003, +6.85731096581e+001
+1.55036200000e+004, +1.62372264489e+002, +6.47376729863e+001, +1.50744618758e-003, +6.92945268018e+001
+1.56173590000e+004, +1.63273825163e+002, +6.46061999744e+001, +1.50314333481e-003, +7.00179195705e+001
+1.57319330000e+004, +1.64181039834e+002, +6.44742643770e+001, +1.49884317714e-003, +7.07483139328e+001
+1.58473470000e+004, +1.65089734946e+002, +6.43435195924e+001, +1.49452833022e-003, +7.14796516074e+001
+1.59636080000e+004, +1.66002723529e+002, +6.42133660872e+001, +1.49021715139e-003, +7.22146806130e+001
+1.60807220000e+004, +1.66916822058e+002, +6.40827042452e+001, +1.48586747296e-003, +7.29548889215e+001
+1.61986950000e+004, +1.67834106500e+002, +6.39509440173e+001, +1.48149079216e-003, +7.37027573175e+001
+1.63175340000e+004, +1.68754448226e+002, +6.38193754740e+001, +1.47710234557e-003, +7.44548684870e+001
+1.64372440000e+004, +1.69676674533e+002, +6.36857590113e+001, +1.47266385442e-003, +7.52166518891e+001
+1.65578330000e+004, +1.70605450742e+002, +6.35506996262e+001, +1.46822329537e-003, +7.59886458619e+001
+1.66793060000e+004, +1.71536102988e+002, +6.34153230399e+001, +1.46375461016e-003, +7.67658267672e+001
+1.68016710000e+004, +1.72466852010e+002, +6.32795321022e+001, +1.45924181840e-003, +7.75476695432e+001
+1.69249330000e+004, +1.73398730873e+002, +6.31441770902e+001, +1.45470547411e-003, +7.83323507850e+001
+1.70491000000e+004, +1.74334685467e+002, +6.30089408644e+001, +1.45016655333e-003, +7.91220506302e+001
+1.71741770000e+004, +1.75270101852e+002, +6.28739497266e+001, +1.44558879116e-003, +7.99143340575e+001
+1.73001720000e+004, +1.76208437874e+002, +6.27398905010e+001, +1.44101025575e-003, +8.07088864392e+001
+1.74270920000e+004, +1.77149117044e+002, +6.26044083728e+001, +1.43639599491e-003, +8.15118844064e+001
+1.75549420000e+004, +1.78089837141e+002, +6.24680280698e+001, +1.43173470291e-003, +8.23208708934e+001
+1.76837310000e+004, +1.79034108024e+002, +6.23324112510e+001, +1.42707662372e-003, +8.31328980974e+001
+1.78134640000e+004, +1.79981483344e+002, +6.21956176033e+001, +1.42239316668e-003, +8.39531364919e+001
+1.79441490000e+004, +1.80931449833e+002, +6.20582928884e+001, +1.41768878554e-003, +8.47795934332e+001
+1.80757930000e+004, +1.81884539764e+002, +6.19203556781e+001, +1.41296679767e-003, +8.56127718755e+001
+1.82084030000e+004, +1.82839783020e+002, +6.17813367416e+001, +1.40821368563e-003, +8.64535628485e+001
+1.83419850000e+004, +1.83795163904e+002, +6.16433509021e+001, +1.40344238878e-003, +8.72950784485e+001
+1.84765480000e+004, +1.84753032135e+002, +6.15041743992e+001, +1.39864196654e-003, +8.81446981689e+001
+1.86120970000e+004, +1.85712286471e+002, +6.13637705271e+001, +1.39380403919e-003, +8.90020434425e+001
+1.87486410000e+004, +1.86673876151e+002, +6.12228485864e+001, +1.38894539664e-003, +8.98655841907e+001
+1.88861870000e+004, +1.87637805487e+002, +6.10813544570e+001, +1.38406566777e-003, +9.07354988489e+001
+1.90247420000e+004, +1.88604096042e+002, +6.09403197505e+001, +1.37917912406e-003, +9.16088523893e+001
+1.91643130000e+004, +1.89573227956e+002, +6.07990112707e+001, +1.37427982300e-003, +9.24879860237e+001
+1.93049090000e+004, +1.90547762124e+002, +6.06582647933e+001, +1.36939750524e-003, +9.33717478865e+001
+1.94465360000e+004, +1.91521071265e+002, +6.05175651711e+001, +1.36447794056e-003, +9.42583807053e+001
+1.95892010000e+004, +1.92497901451e+002, +6.03761464429e+001, +1.35954535341e-003, +9.51524469899e+001
+1.97329140000e+004, +1.93475311101e+002, +6.02356794151e+001, +1.35460162500e-003, +9.60476233312e+001
+1.98776810000e+004, +1.94449738672e+002, +6.00938697138e+001, +1.34959179775e-003, +9.69488458656e+001
+2.00235090000e+004, +1.95422794592e+002, +5.99521497981e+001, +1.34454762404e-003, +9.78527038251e+001
+2.01704080000e+004, +1.96391438529e+002, +5.98094679340e+001, +1.33943490369e-003, +9.87607612498e+001
+2.03183840000e+004, +1.97365243303e+002, +5.96674515743e+001, +1.33434209473e-003, +9.96730039362e+001
+2.04674460000e+004, +1.98342196482e+002, +5.95244496235e+001, +1.32923294523e-003, +1.00593338099e+002
+2.06176020000e+004, +1.99316558236e+002, +5.93819077402e+001, +1.32408917748e-003, +1.01514551387e+002
+2.07688590000e+004, +2.00298499105e+002, +5.92385547393e+001, +1.31896160504e-003, +1.02445621517e+002
+2.09212260000e+004, +2.01289776377e+002, +5.90964521227e+001, +1.31388925852e-003, +1.03381298762e+002
+2.10747100000e+004, +2.02279224295e+002, +5.89535393145e+001, +1.30877081580e-003, +1.04322066238e+002
+2.12293210000e+004, +2.03273102604e+002, +5.88097345468e+001, +1.30364613675e-003, +1.05271414981e+002
+2.13850660000e+004, +2.04265444685e+002, +5.86660765698e+001, +1.29849158005e-003, +1.06223122547e+002
+2.15419530000e+004, +2.05258601343e+002, +5.85209805589e+001, +1.29330102887e-003, +1.07183231644e+002
+2.16999920000e+004, +2.06253281597e+002, +5.83755844933e+001, +1.28809501131e-003, +1.08148661860e+002
+2.18591890000e+004, +2.07247859540e+002, +5.82295195597e+001, +1.28285889426e-003, +1.09119697293e+002
+2.20195550000e+004, +2.08242803617e+002, +5.80840879694e+001, +1.27761412908e-003, +1.10092574386e+002
+2.21810970000e+004, +2.09239026097e+002, +5.79384223930e+001, +1.27235493105e-003, +1.11070432243e+002
+2.23438250000e+004, +2.10230225084e+002, +5.77937214248e+001, +1.26706036567e-003, +1.12046192886e+002
+2.25077460000e+004, +2.11221453177e+002, +5.76491519557e+001, +1.26175059699e-003, +1.13025081143e+002
+2.26728700000e+004, +2.12205194869e+002, +5.75084569282e+001, +1.25643396482e-003, +1.13991350354e+002
+2.28392050000e+004, +2.13192595146e+002, +5.73663323932e+001, +1.25110374801e-003, +1.14967459580e+002
+2.30067610000e+004, +2.14180480643e+002, +5.72202126426e+001, +1.24570546272e-003, +1.15959806112e+002
+2.31755450000e+004, +2.15171190501e+002, +5.70764122266e+001, +1.24034153028e-003, +1.16949858852e+002
+2.33455680000e+004, +2.16170109818e+002, +5.69311162009e+001, +1.23498934457e-003, +1.17952557232e+002
+2.35168380000e+004, +2.17171819097e+002, +5.67803266152e+001, +1.22956135334e-003, +1.18977691214e+002
+2.36893650000e+004, +2.18175954612e+002, +5.66294954393e+001, +1.22413206127e-003, +1.20007878822e+002
+2.38631580000e+004, +2.19176880564e+002, +5.64803172258e+001, +1.21869424674e-003, +1.21034605887e+002
+2.40382250000e+004, +2.20185148873e+002, +5.63326378353e+001, +1.21330510250e-003, +1.22064134566e+002
+2.42145770000e+004, +2.21186658038e+002, +5.61846122049e+001, +1.20786104245e-003, +1.23094527096e+002
+2.43922230000e+004, +2.22188218065e+002, +5.60410766296e+001, +1.20246886139e-003, +1.24113984039e+002
+2.45711720000e+004, +2.23193277827e+002, +5.58977796087e+001, +1.19708766631e-003, +1.25138017039e+002
+2.47514330000e+004, +2.24192476797e+002, +5.57543236671e+001, +1.19166215275e-003, +1.26162646036e+002
+2.49330180000e+004, +2.25194570656e+002, +5.56097298578e+001, +1.18622583360e-003, +1.27195945861e+002
+2.51159340000e+004, +2.26199260067e+002, +5.54655405889e+001, +1.18079923092e-003, +1.28232765162e+002
+2.53001920000e+004, +2.27195610486e+002, +5.53193636014e+001, +1.17529194180e-003, +1.29274675030e+002
+2.54858020000e+004, +2.28194075780e+002, +5.51727983884e+001, +1.16978189811e-003, +1.30322401185e+002
+2.56727740000e+004, +2.29191990317e+002, +5.50261781170e+001, +1.16426049575e-003, +1.31373332575e+002
+2.58611170000e+004, +2.30192180754e+002, +5.48805104028e+001, +1.15875692235e-003, +1.32425767710e+002
+2.60508420000e+004, +2.31195272308e+002, +5.47336654886e+001, +1.15324415463e-003, +1.33487060176e+002
+2.62419590000e+004, +2.32205130639e+002, +5.45873488570e+001, +1.14776566515e-003, +1.34553850127e+002
+2.64344790000e+004, +2.33223009007e+002, +5.44418651050e+001, +1.14233149361e-003, +1.35625872108e+002
+2.66284100000e+004, +2.34244671344e+002, +5.42967315746e+001, +1.13691373820e-003, +1.36702270462e+002
+2.68237640000e+004, +2.35258331732e+002, +5.41504913503e+001, +1.13143485714e-003, +1.37780991753e+002
+2.70205520000e+004, +2.36264942936e+002, +5.40061771530e+001, +1.12594417713e-003, +1.38852440910e+002
+2.72187830000e+004, +2.37272784088e+002, +5.38596135332e+001, +1.12042265871e-003, +1.39935360103e+002
+2.74184680000e+004, +2.38271519236e+002, +5.37141239975e+001, +1.11486966524e-003, +1.41012537929e+002
+2.76196190000e+004, +2.39264264607e+002, +5.35678170763e+001, +1.10927420129e-003, +1.42092084205e+002
+2.78222450000e+004, +2.40250886237e+002, +5.34234495894e+001, +1.10367632155e-003, +1.43164603103e+002
+2.80263570000e+004, +2.41241763555e+002, +5.32773191210e+001, +1.09807154925e-003, +1.44248700274e+002
+2.82319670000e+004, +2.42231942040e+002, +5.31326689903e+001, +1.09248374127e-003, +1.45330484212e+002
+2.84390860000e+004, +2.43215682521e+002, +5.29875477169e+001, +1.08685985290e-003, +1.46413063126e+002
+2.86477240000e+004, +2.44198171484e+002, +5.28432649930e+001, +1.08124281700e-003, +1.47495077657e+002
+2.88578920000e+004, +2.45182636569e+002, +5.27002536216e+001, +1.07565353596e-003, +1.48576970372e+002
+2.90696030000e+004, +2.46169143651e+002, +5.25556248189e+001, +1.07005106252e-003, +1.49668605619e+002
+2.92828660000e+004, +2.47163443449e+002, +5.24127455763e+001, +1.06450854027e-003, +1.50762014258e+002
+2.94976940000e+004, +2.48160236408e+002, +5.22697320258e+001, +1.05897580384e-003, +1.51860400752e+002
+2.97140990000e+004, +2.49183636207e+002, +5.21254410707e+001, +1.05353852655e-003, +1.52982496437e+002
+2.99320900000e+004, +2.50201176012e+002, +5.19827898405e+001, +1.04809977849e-003, +1.54098440295e+002
+3.01516820000e+004, +2.51215878073e+002, +5.18389885845e+001, +1.04263316463e-003, +1.55219632076e+002
+3.03728840000e+004, +2.52221434654e+002, +5.16964981157e+001, +1.03714874338e-003, +1.56333654095e+002
+3.05957080000e+004, +2.53229209965e+002, +5.15526896798e+001, +1.03165663713e-003, +1.57456575700e+002
+3.08201680000e+004, +2.54220865696e+002, +5.14091324991e+001, +1.02610530612e-003, +1.58571541303e+002
+3.10462740000e+004, +2.55208352104e+002, +5.12645775068e+001, +1.02052692495e-003, +1.59690253633e+002
+3.12740390000e+004, +2.56192165013e+002, +5.11214298566e+001, +1.01495859757e-003, +1.60804631695e+002
+3.15034750000e+004, +2.57179526248e+002, +5.09784114872e+001, +1.00941114175e-003, +1.61923616185e+002
+3.17345950000e+004, +2.58165336207e+002, +5.08353371285e+001, +1.00386199102e-003, +1.63044637191e+002
+3.19674090000e+004, +2.59149169539e+002, +5.06947766141e+001, +9.98346727821e-004, +1.64158408751e+002
+3.22019320000e+004, +2.60135478308e+002, +5.05545006404e+001, +9.92850949504e-004, +1.65275502653e+002
+3.24381760000e+004, +2.61122574491e+002, +5.04133675255e+001, +9.87352055745e-004, +1.66398847653e+002
+3.26761520000e+004, +2.62102236637e+002, +5.02744958146e+001, +9.81863946205e-004, +1.67512222992e+002
+3.29158740000e+004, +2.63084925196e+002, +5.01345362043e+001, +9.76378750415e-004, +1.68634040773e+002
+3.31573550000e+004, +2.64064849448e+002, +4.99955993325e+001, +9.70905188991e-004, +1.69753149639e+002
+3.34006080000e+004, +2.65039544945e+002, +4.98561927766e+001, +9.65413608870e-004, +1.70873190546e+002
+3.36456450000e+004, +2.66008864703e+002, +4.97181741207e+001, +9.59930707465e-004, +1.71987454213e+002
+3.38924800000e+004, +2.66984553270e+002, +4.95791819078e+001, +9.54465701379e-004, +1.73111865605e+002
+3.41411260000e+004, +2.67961754799e+002, +4.94410938304e+001, +9.49027669494e-004, +1.74236633382e+002
+3.43915960000e+004, +2.68940252579e+002, +4.93010865936e+001, +9.43575943917e-004, +1.75371642648e+002
+3.46439030000e+004, +2.69930363194e+002, +4.91621504165e+001, +9.38188906110e-004, +1.76513006757e+002
+3.48980610000e+004, +2.70922861185e+002, +4.90244883400e+001, +9.32836727262e-004, +1.77653982910e+002
+3.51540840000e+004, +2.71907386220e+002, +4.88856363738e+001, +9.27449223444e-004, +1.78796546002e+002
+3.54119860000e+004, +2.72891387447e+002, +4.87472813095e+001, +9.22076429731e-004, +1.79939529454e+002
+3.56717790000e+004, +2.73869028842e+002, +4.86103785113e+001, +9.16712601748e-004, +1.81075623525e+002
+3.59334780000e+004, +2.74831248906e+002, +4.84741228844e+001, +9.11317095536e-004, +1.82201640972e+002
+3.61970970000e+004, +2.75788633754e+002, +4.83371570010e+001, +9.05907221907e-004, +1.83329394160e+002
+3.64626500000e+004, +2.76743511104e+002, +4.82015754330e+001, +9.00520683492e-004, +1.84452863331e+002
+3.67301520000e+004, +2.77693528595e+002, +4.80672641994e+001, +8.95148639844e-004, +1.85570840665e+002
+3.69996150000e+004, +2.78652571629e+002, +4.79323774954e+001, +8.89810184527e-004, +1.86699236512e+002
