!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:52:03 2026

BEGIN CH1_DATA
DCV(V), +1.851e-004, DCI(A), -2.556e-006
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+1.49484700000e+003, +1.94780516542e+001, +8.48225766456e+001, +2.06534862264e-003, +1.75770246017e+000
+1.50581400000e+003, +1.96163178298e+001, +8.48028295531e+001, +2.06479609748e-003, +1.77691273152e+000
+1.51686100000e+003, +1.97555364374e+001, +8.47826936940e+001, +2.06423978336e-003, +1.79643779985e+000
+1.52798900000e+003, +1.98956685004e+001, +8.47620018400e+001, +2.06367384800e-003, +1.81633573755e+000
+1.53919900000e+003, +2.00370931899e+001, +8.47412098836e+001, +2.06313772689e-003, +1.83648756301e+000
+1.55049100000e+003, +2.01790144926e+001, +8.47206006622e+001, +2.06255040694e-003, +1.85672296905e+000
+1.56186600000e+003, +2.03217455960e+001, +8.46992586033e+001, +2.06194050086e-003, +1.87739341385e+000
+1.57332400000e+003, +2.04658872312e+001, +8.46776248527e+001, +2.06137048601e-003, +1.89840405025e+000
+1.58486700000e+003, +2.06109784483e+001, +8.46557892688e+001, +2.06079114710e-003, +1.91968352620e+000
+1.59649400000e+003, +2.07568438618e+001, +8.46336196791e+001, +2.06018617658e-003, +1.94126570523e+000
+1.60820600000e+003, +2.09035541195e+001, +8.46113099952e+001, +2.05956251064e-003, +1.96309020321e+000
+1.62000500000e+003, +2.10515032254e+001, +8.45889223170e+001, +2.05895682698e-003, +1.98517350149e+000
+1.63188900000e+003, +2.12002633826e+001, +8.45664833744e+001, +2.05832988300e-003, +2.00746728193e+000
+1.64386100000e+003, +2.13502372261e+001, +8.45442225344e+001, +2.05771805314e-003, +2.02992608174e+000
+1.65592100000e+003, +2.15011598171e+001, +8.45226638782e+001, +2.05709756453e-003, +2.05232885334e+000
+1.66807000000e+003, +2.16533203449e+001, +8.45008550764e+001, +2.05649170800e-003, +2.07505711857e+000
+1.68030700000e+003, +2.18062842369e+001, +8.44789590900e+001, +2.05586103314e-003, +2.09801070465e+000
+1.69263400000e+003, +2.19603506838e+001, +8.44570360363e+001, +2.05523193378e-003, +2.12119717792e+000
+1.70505200000e+003, +2.21154917208e+001, +8.44348761789e+001, +2.05459991878e-003, +2.14469586886e+000
+1.71756100000e+003, +2.22714085158e+001, +8.44123314078e+001, +2.05393702861e-003, +2.16853811684e+000
+1.73016100000e+003, +2.24283553994e+001, +8.43904624971e+001, +2.05327099604e-003, +2.19233955075e+000
+1.74285400000e+003, +2.25861750570e+001, +8.43679051205e+001, +2.05258058244e-003, +2.21661562927e+000
+1.75564100000e+003, +2.27456560657e+001, +8.43449285487e+001, +2.05193725675e-003, +2.24134433318e+000
+1.76852000000e+003, +2.29059248734e+001, +8.43222696367e+001, +2.05126674145e-003, +2.26615153478e+000
+1.78149500000e+003, +2.30673223976e+001, +8.43001561013e+001, +2.05059626761e-003, +2.29097815203e+000
+1.79456400000e+003, +2.32296426763e+001, +8.42780385641e+001, +2.04990812697e-003, +2.31602201009e+000
+1.80773000000e+003, +2.33933685373e+001, +8.42543150740e+001, +2.04923592431e-003, +2.34198329899e+000
+1.82099200000e+003, +2.35579788778e+001, +8.42318801483e+001, +2.04854547592e-003, +2.36764087145e+000
+1.83435100000e+003, +2.37239562866e+001, +8.42081461098e+001, +2.04786858250e-003, +2.39409943234e+000
+1.84780900000e+003, +2.38911353185e+001, +8.41843572899e+001, +2.04719301591e-003, +2.42083887042e+000
+1.86136500000e+003, +2.40595269255e+001, +8.41600111902e+001, +2.04651902366e-003, +2.44807216577e+000
+1.87502000000e+003, +2.42290021949e+001, +8.41355148375e+001, +2.04583610549e-003, +2.47562130942e+000
+1.88877600000e+003, +2.43998644997e+001, +8.41104671362e+001, +2.04516631036e-003, +2.50369002621e+000
+1.90263300000e+003, +2.45717080205e+001, +8.40854725510e+001, +2.04447783742e-003, +2.53198531806e+000
+1.91659100000e+003, +2.47447315218e+001, +8.40603194655e+001, +2.04378681969e-003, +2.56061944718e+000
+1.93065200000e+003, +2.49192501315e+001, +8.40348707472e+001, +2.04311658957e-003, +2.58968743330e+000
+1.94481600000e+003, +2.50948411514e+001, +8.40094488186e+001, +2.04243354389e-003, +2.61900935138e+000
+1.95908300000e+003, +2.52715364148e+001, +8.39841091292e+001, +2.04174083136e-003, +2.64856537858e+000
+1.97345600000e+003, +2.54492789849e+001, +8.39586305710e+001, +2.04103025707e-003, +2.67844788002e+000
+1.98793400000e+003, +2.56282847413e+001, +8.39329136228e+001, +2.04032012087e-003, +2.70872659129e+000
+2.00251800000e+003, +2.58079331821e+001, +8.39074616583e+001, +2.03956232899e-003, +2.73911407932e+000
+2.01720900000e+003, +2.59889984398e+001, +8.38813330865e+001, +2.03881418027e-003, +2.77011588806e+000
+2.03200800000e+003, +2.61712418061e+001, +8.38554279255e+001, +2.03805932744e-003, +2.80130596660e+000
+2.04691500000e+003, +2.63547169549e+001, +8.38295710967e+001, +2.03730151803e-003, +2.83276961907e+000
+2.06193200000e+003, +2.65396161967e+001, +8.38041600568e+001, +2.03655523454e-003, +2.86434575957e+000
+2.07705900000e+003, +2.67258261808e+001, +8.37777529028e+001, +2.03580615856e-003, +2.89668833349e+000
+2.09229700000e+003, +2.69133664749e+001, +8.37527738961e+001, +2.03506425139e-003, +2.92867886739e+000
+2.10764700000e+003, +2.71019256995e+001, +8.37273774776e+001, +2.03429809383e-003, +2.96113897745e+000
+2.12310900000e+003, +2.72918958551e+001, +8.37009576008e+001, +2.03353509461e-003, +2.99440400696e+000
+2.13868500000e+003, +2.74830706909e+001, +8.36749468534e+001, +2.03276362585e-003, +3.02778021218e+000
+2.15437500000e+003, +2.76759740301e+001, +8.36485308212e+001, +2.03201926984e-003, +3.06171408654e+000
+2.17018000000e+003, +2.78696584711e+001, +8.36213225466e+001, +2.03122995544e-003, +3.09629383726e+000
+2.18610100000e+003, +2.80647721467e+001, +8.35932417506e+001, +2.03044230264e-003, +3.13163987551e+000
+2.20213900000e+003, +2.82613155399e+001, +8.35655376970e+001, +2.02966036054e-003, +3.16715079283e+000
+2.21829500000e+003, +2.84595546822e+001, +8.35371018214e+001, +2.02889775731e-003, +3.20340188771e+000
+2.23456900000e+003, +2.86586286708e+001, +8.35090185239e+001, +2.02809750870e-003, +3.23976687233e+000
+2.25096200000e+003, +2.88590675860e+001, +8.34808749534e+001, +2.02729525199e-003, +3.27651010591e+000
+2.26747600000e+003, +2.90611667397e+001, +8.34524600239e+001, +2.02650907135e-003, +3.31377423042e+000
+2.28411100000e+003, +2.92643055984e+001, +8.34240720317e+001, +2.02569693826e-003, +3.35134208750e+000
+2.30086800000e+003, +2.94689183561e+001, +8.33955065633e+001, +2.02488764314e-003, +3.38936928500e+000
+2.31774800000e+003, +2.96750655949e+001, +8.33666093949e+001, +2.02408382549e-003, +3.42794620512e+000
+2.33475100000e+003, +2.98821063779e+001, +8.33381504481e+001, +2.02324519847e-003, +3.46660546124e+000
+2.35188000000e+003, +3.00909041407e+001, +8.33083595557e+001, +2.02242081039e-003, +3.50636759554e+000
+2.36913400000e+003, +3.03003532400e+001, +8.32791979971e+001, +2.02154550918e-003, +3.54609013484e+000
+2.38651500000e+003, +3.05118147133e+001, +8.32494541030e+001, +2.02070399190e-003, +3.58656798530e+000
+2.40402300000e+003, +3.07246827910e+001, +8.32198631819e+001, +2.01985880036e-003, +3.62734750813e+000
+2.42166000000e+003, +3.09388988360e+001, +8.31904969119e+001, +2.01900494834e-003, +3.66838378031e+000
+2.43942600000e+003, +3.11547590028e+001, +8.31614066689e+001, +2.01816216525e-003, +3.70968388289e+000
+2.45732200000e+003, +3.13720370952e+001, +8.31321197559e+001, +2.01731298189e-003, +3.75147712724e+000
+2.47535000000e+003, +3.15908891309e+001, +8.31023937188e+001, +2.01646491293e-003, +3.79391929896e+000
+2.49351000000e+003, +3.18113293458e+001, +8.30714502436e+001, +2.01561555165e-003, +3.83744844679e+000
+2.51180300000e+003, +3.20330826395e+001, +8.30411158585e+001, +2.01475458814e-003, +3.88103392044e+000
+2.53023000000e+003, +3.22563492610e+001, +8.30095435318e+001, +2.01388621689e-003, +3.92572728597e+000
+2.54879300000e+003, +3.24810457546e+001, +8.29770734378e+001, +2.01300524373e-003, +3.97134361905e+000
+2.56749100000e+003, +3.27073698360e+001, +8.29444882888e+001, +2.01212826662e-003, +4.01747653832e+000
+2.58632700000e+003, +3.29354779674e+001, +8.29125869695e+001, +2.01126599343e-003, +4.06369369772e+000
+2.60530100000e+003, +3.31646139553e+001, +8.28793925756e+001, +2.01036380524e-003, +4.11103175926e+000
+2.62441500000e+003, +3.33958792424e+001, +8.28469543838e+001, +2.00949625397e-003, +4.15845972711e+000
+2.64366800000e+003, +3.36277386753e+001, +8.28156048997e+001, +2.00857333394e-003, +4.20558654291e+000
+2.66306300000e+003, +3.38616919449e+001, +8.27834333055e+001, +2.00767471057e-003, +4.25370884737e+000
+2.68260000000e+003, +3.40968540751e+001, +8.27518247640e+001, +2.00675392363e-003, +4.30191059351e+000
+2.70228000000e+003, +3.43336951607e+001, +8.27191278795e+001, +2.00583099138e-003, +4.35122808691e+000
+2.72210500000e+003, +3.45724823686e+001, +8.26867778716e+001, +2.00492637327e-003, +4.40085243563e+000
+2.74207500000e+003, +3.48127259904e+001, +8.26534446866e+001, +2.00400564287e-003, +4.45152151260e+000
+2.76219200000e+003, +3.50546312112e+001, +8.26201631746e+001, +2.00308407223e-003, +4.50264839869e+000
+2.78245600000e+003, +3.52980961404e+001, +8.25866451115e+001, +2.00215470865e-003, +4.55439822062e+000
+2.80286900000e+003, +3.55430379307e+001, +8.25529932146e+001, +2.00121217330e-003, +4.60670269097e+000
+2.82343200000e+003, +3.57901255118e+001, +8.25191991681e+001, +2.00029348694e-003, +4.65965827421e+000
+2.84414600000e+003, +3.60389703701e+001, +8.24853702675e+001, +1.99937645062e-003, +4.71315277799e+000
+2.86501100000e+003, +3.62874590926e+001, +8.24563022548e+001, +1.99836690378e-003, +4.76390105352e+000
+2.88603000000e+003, +3.65398745831e+001, +8.24214944231e+001, +1.99745108493e-003, +4.81904411190e+000
+2.90720300000e+003, +3.67944130806e+001, +8.23863056622e+001, +1.99655322764e-003, +4.87501314347e+000
+2.92853100000e+003, +3.70499580442e+001, +8.23507914617e+001, +1.99561241793e-003, +4.93163276807e+000
+2.95001500000e+003, +3.73071241049e+001, +8.23156023505e+001, +1.99466489611e-003, +4.98857147390e+000
+2.97165800000e+003, +3.75647589130e+001, +8.22785184178e+001, +1.99363732995e-003, +5.04711534913e+000
+2.99345900000e+003, +3.78245254247e+001, +8.22427735923e+001, +1.99263488235e-003, +5.10539942833e+000
+3.01541900000e+003, +3.80859808784e+001, +8.22052776895e+001, +1.99161882258e-003, +5.16538491710e+000
+3.03754100000e+003, +3.83497910249e+001, +8.21679939212e+001, +1.99063125082e-003, +5.22588745551e+000
+3.05982600000e+003, +3.86149422395e+001, +8.21306770566e+001, +1.98961763745e-003, +5.28693361974e+000
+3.08227400000e+003, +3.88824830999e+001, +8.20936111482e+001, +1.98863366536e-003, +5.34847970714e+000
+3.10488600000e+003, +3.91516850566e+001, +8.20555015846e+001, +1.98763494452e-003, +5.41130229119e+000
+3.12766500000e+003, +3.94225164591e+001, +8.20179086794e+001, +1.98662582244e-003, +5.47435139798e+000
+3.15061000000e+003, +3.96954993866e+001, +8.19805694371e+001, +1.98563219290e-003, +5.53787624373e+000
+3.17372400000e+003, +3.99705597688e+001, +8.19421264911e+001, +1.98464166202e-003, +5.60280458660e+000
+3.19700700000e+003, +4.02471975112e+001, +8.19038998929e+001, +1.98363593943e-003, +5.66816756346e+000
+3.22046200000e+003, +4.05253684125e+001, +8.18659911371e+001, +1.98261200227e-003, +5.73388785725e+000
+3.24408800000e+003, +4.08060890358e+001, +8.18268798214e+001, +1.98161284883e-003, +5.80118022496e+000
+3.26788800000e+003, +4.10880289638e+001, +8.17884536993e+001, +1.98058130651e-003, +5.86853708544e+000
+3.29186200000e+003, +4.13720249619e+001, +8.17492333415e+001, +1.97955094936e-003, +5.93712819678e+000
+3.31601200000e+003, +4.16583719653e+001, +8.17103725274e+001, +1.97854034890e-003, +6.00618159758e+000
+3.34033900000e+003, +4.19467961545e+001, +8.16712746742e+001, +1.97753273174e-003, +6.07608919131e+000
+3.36484500000e+003, +4.22362833113e+001, +8.16316509559e+001, +1.97647800175e-003, +6.14692164926e+000
