;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
DPG10 L_amp(SUdt)
;
10;0.3909
15;0.50399
20;0.60169
25;0.68646
30;0.76052
35;0.82562
40;0.88156
45;0.93272
50;0.97909
55;1.023
60;1.062
65;1.0978
70;1.1311
75;1.1623
80;1.1909
85;1.2171
90;1.241
95;1.2616
100;1.2794
105;1.2958
110;1.3121
115;1.3273
120;1.3416
125;1.3545
130;1.3666
135;1.3776
140;1.3878
145;1.3969
150;1.4046
155;1.4111
160;1.4147
165;1.418
170;1.4205
175;1.4241
180;1.426
185;1.4277
190;1.4281
195;1.4284
200;1.4275
205;1.4247
210;1.4205
215;1.4154
220;1.4105
225;1.4048
230;1.3983
235;1.3907
240;1.3821
245;1.3712
250;1.3584
255;1.3441
260;1.3289
265;1.3124
270;1.2938
275;1.2731
280;1.2503
285;1.2257
290;1.1986
295;1.1678
300;1.1336
305;1.0952
310;1.0524
315;1.0037
320;0.94816
325;0.88437
330;0.81045
335;0.72419
340;0.62372
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
DPG10 Psi(I)
;
;
0.03;15.349
0.04;30.939
0.05;48.061
0.06;66.465
0.07;85.309
0.08;103.2
0.09;120.99
0.10;138.48
0.11;155.25
0.12;170.53
0.13;185.6
0.14;199.85
0.15;212.67
0.16;224.81
0.17;236.12
0.18;246.26
0.19;255.25
0.20;263.49
0.21;270.91
0.22;277.57
0.23;283.57
0.24;289.01
0.25;293.82
0.26;298.15
0.27;302.01
0.28;305.5
0.29;308.66
0.30;311.51
0.31;314.07
0.32;316.41
0.33;318.53
0.34;320.47
0.35;322.24
0.36;323.86
0.37;325.36
0.38;326.74
0.39;328.02
0.40;329.2
0.41;330.3
0.42;331.33
0.43;332.28
0.44;333.18
0.45;334.02
0.46;334.8
0.47;335.55
0.48;336.25
0.49;336.91
0.50;337.54
0.51;338.13
0.52;338.7
0.53;339.23
0.54;339.75
0.55;340.24
0.56;340.7
0.57;341.15
0.58;341.58
0.59;341.99
0.60;342.38
0.61;342.76
0.62;343.13
0.63;343.48
0.64;343.82
0.65;344.14
0.66;344.46
0.67;344.77
0.68;345.06
0.69;345.35
0.70;345.63
0.71;345.9
0.72;346.16
0.73;346.41
0.74;346.66
0.75;346.9
0.76;347.13
0.77;347.36
0.78;347.59
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
DPG10 Co(I)
;
;
0.03;0.15349
0.04;0.46288
0.05;0.94348
0.06;1.6081
0.07;2.4612
0.08;3.4932
0.09;4.7031
0.10;6.0879
0.11;7.6404
0.12;9.3457
0.13;11.202
0.14;13.2
0.15;15.327
0.16;17.575
0.17;19.936
0.18;22.399
0.19;24.951
0.20;27.586
0.21;30.295
0.22;33.071
0.23;35.907
0.24;38.797
0.25;41.735
0.26;44.717
0.27;47.737
0.28;50.792
0.29;53.878
0.30;56.994
0.31;60.134
0.32;63.298
0.33;66.484
0.34;69.688
0.35;72.911
0.36;76.149
0.37;79.403
0.38;82.671
0.39;85.951
