Type;ESR-26;
Version;3.66;
Date;31.Aug 26;
Mode;Receiver;
Start;9000.000000;Hz
Stop;30000000.000000;Hz
x-Axis;LIN;
x-Unit;Hz;
y-Unit;dBµV;
Scan Count;1;
Transducer;TBFL1.TDF;;;;;;;
Scan 1:
Start;9000.000000;Hz
Stop;149950.000000;Hz
Step;50.000000;Hz
RBW;200.000000;Hz
Meas Time;1.000000;s
Auto Ranging;OFF;
RF Att;30.000000;dB
Auto Preamp;OFF;
Preamp;0.000000;dB
Scan 2:
Start;150000.000000;Hz
Stop;30000000.000000;Hz
Step;2250.000000;Hz
RBW;9000.000000;Hz
Meas Time;1.000000;s
Auto Ranging;OFF;
RF Att;30.000000;dB
Auto Preamp;OFF;
Preamp;0.000000;dB
TRACE 1:
Trace Mode;VIEW;
Detector;QUASI PEAK;
Values;16088;
9000.000000;13.982468;
9050.000000;14.077950;
9100.000000;14.534935;
9150.000000;15.209877;
9200.000000;15.540703;
9250.000000;15.665787;
9300.000000;15.436241;
9350.000000;15.158737;
9400.000000;14.908905;
9450.000000;14.681793;
9500.000000;14.444969;
9550.000000;14.860771;
9600.000000;14.861908;
9650.000000;14.645233;
9700.000000;14.721039;
9750.000000;14.748482;
9800.000000;14.844055;
9850.000000;15.034134;
9900.000000;15.370941;
9950.000000;15.190651;
10000.000000;24.513260;
10050.000000;24.444298;
10100.000000;24.845230;
10150.000000;24.935196;
10200.000000;24.970039;
10250.000000;25.050880;
10300.000000;24.964920;
10350.000000;24.826294;
10400.000000;24.712898;
10450.000000;24.378983;
10500.000000;24.304100;
10550.000000;24.462753;
10600.000000;24.767342;
10650.000000;24.878441;
10700.000000;25.013000;
10750.000000;25.024757;
10800.000000;24.808922;
10850.000000;24.974686;
10900.000000;25.007637;
10950.000000;24.868744;
11000.000000;24.798462;
11050.000000;24.710594;
11100.000000;24.767242;
11150.000000;24.907784;
11200.000000;24.980103;
11250.000000;24.829979;
11300.000000;24.702263;
11350.000000;24.384674;
11400.000000;24.557762;
11450.000000;24.952591;
11500.000000;25.191414;
11550.000000;25.244675;
11600.000000;24.931351;
11650.000000;24.624413;
11700.000000;24.699440;
11750.000000;25.062714;
11800.000000;24.975983;
11850.000000;24.776596;
11900.000000;24.775986;
11950.000000;24.800156;
12000.000000;24.929047;
12050.000000;25.160202;
12100.000000;25.133316;
12150.000000;24.680321;
12200.000000;24.228043;
12250.000000;24.560783;
12300.000000;25.584816;
12350.000000;25.779427;
12400.000000;25.340378;
12450.000000;25.144127;
12500.000000;25.153564;
12550.000000;25.479889;
12600.000000;25.780975;
12650.000000;25.862053;
12700.000000;25.813835;
12750.000000;25.436012;
12800.000000;24.616943;
12850.000000;24.020432;
12900.000000;23.874557;
12950.000000;23.839050;
13000.000000;23.925110;
13050.000000;23.802444;
13100.000000;23.572784;
13150.000000;23.576714;
13200.000000;23.469490;
13250.000000;23.102669;
13300.000000;23.183235;
13350.000000;23.368744;
13400.000000;23.587357;
13450.000000;23.712631;
13500.000000;23.685425;
13550.000000;23.408699;
13600.000000;23.145752;
13650.000000;22.933601;
13700.000000;22.866905;
13750.000000;22.777542;
13800.000000;22.798958;
13850.000000;22.859680;
13900.000000;22.846825;
13950.000000;23.301811;
14000.000000;23.374001;
14050.000000;23.230873;
14100.000000;23.021255;
14150.000000;23.318756;
14200.000000;23.682327;
14250.000000;23.672684;
14300.000000;23.484238;
14350.000000;23.037125;
14400.000000;22.796753;
14450.000000;22.834557;
14500.000000;22.769135;
14550.000000;22.684830;
14600.000000;22.807632;
14650.000000;23.100479;
14700.000000;23.921104;
14750.000000;24.214188;
14800.000000;23.838295;
14850.000000;23.246574;
14900.000000;22.611687;
14950.000000;22.393227;
15000.000000;22.691994;
15050.000000;22.848969;
15100.000000;22.598579;
15150.000000;22.402420;
15200.000000;22.462975;
15250.000000;22.490616;
15300.000000;22.435455;
15350.000000;22.346184;
15400.000000;22.351303;
15450.000000;22.316620;
15500.000000;22.326553;
15550.000000;22.197296;
15600.000000;22.015663;
15650.000000;22.097595;
15700.000000;22.201393;
15750.000000;22.124054;
15800.000000;22.038368;
15850.000000;22.071381;
15900.000000;22.110832;
15950.000000;21.939552;
16000.000000;22.105064;
16050.000000;22.144417;
16100.000000;22.129997;
16150.000000;22.197174;
16200.000000;21.907082;
16250.000000;21.820770;
16300.000000;22.167282;
16350.000000;22.634628;
16400.000000;22.379280;
16450.000000;21.936363;
16500.000000;21.549484;
16550.000000;21.430534;
16600.000000;21.826111;
16650.000000;22.012024;
16700.000000;21.974030;
16750.000000;22.003677;
16800.000000;21.756111;
16850.000000;21.553154;
16900.000000;21.397011;
16950.000000;21.262169;
17000.000000;21.622208;
17050.000000;21.928635;
17100.000000;21.963120;
17150.000000;21.810013;
17200.000000;21.868736;
17250.000000;21.880615;
17300.000000;21.645111;
17350.000000;21.134987;
17400.000000;21.179832;
17450.000000;21.164337;
17500.000000;21.084702;
17550.000000;21.116768;
17600.000000;21.511742;
17650.000000;21.673698;
17700.000000;21.342560;
17750.000000;21.025284;
17800.000000;20.942398;
17850.000000;21.331886;
17900.000000;21.605278;
17950.000000;21.439621;
18000.000000;21.306313;
18050.000000;21.092766;
18100.000000;21.197197;
18150.000000;21.151718;
18200.000000;20.802002;
18250.000000;20.648987;
18300.000000;20.976639;
18350.000000;21.281265;
18400.000000;21.317345;
18450.000000;21.267776;
18500.000000;21.296463;
18550.000000;21.242043;
18600.000000;21.193245;
18650.000000;21.040184;
18700.000000;20.984741;
18750.000000;20.848587;
18800.000000;20.817039;
18850.000000;20.786804;
18900.000000;20.679062;
18950.000000;20.776764;
19000.000000;21.029434;
19050.000000;21.220711;
19100.000000;21.035461;
19150.000000;20.852692;
19200.000000;21.060287;
19250.000000;21.288742;
19300.000000;21.114067;
19350.000000;20.932297;
19400.000000;20.824402;
19450.000000;20.668625;
19500.000000;20.434006;
19550.000000;20.455711;
19600.000000;20.491104;
19650.000000;20.576576;
19700.000000;20.788673;
19750.000000;20.646866;
19800.000000;20.453094;
19850.000000;20.334106;
19900.000000;20.365608;
19950.000000;20.660782;
20000.000000;20.662689;
20050.000000;20.424377;
20100.000000;20.202599;
20150.000000;20.188309;
20200.000000;20.242737;
20250.000000;20.189095;
20300.000000;20.014999;
20350.000000;20.121277;
20400.000000;20.207237;
