!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:05:22 2026

BEGIN CH1_DATA
DCV(V), +3.442e-004, DCI(A), +3.352e-006
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+5.69545200000e+003, +9.13798714049e-001, +8.92902128144e+001, +2.55334296198e-005, +1.13199616683e-002
+5.73723600000e+003, +9.20161831871e-001, +8.92898901408e+001, +2.55239729589e-005, +1.14039684339e-002
+5.77932600000e+003, +9.26782330300e-001, +8.92625234025e+001, +2.55202372512e-005, +1.19286518697e-002
+5.82172500000e+003, +9.33614964350e-001, +8.92481609333e+001, +2.55210687550e-005, +1.22506066873e-002
+5.86443500000e+003, +9.40422215937e-001, +8.92285849616e+001, +2.55198120041e-005, +1.26612104539e-002
+5.90745800000e+003, +9.47264209119e-001, +8.92142977490e+001, +2.55181850173e-005, +1.29895133900e-002
+5.95079700000e+003, +9.54202720064e-001, +8.92033473263e+001, +2.55178255838e-005, +1.32670095665e-002
+5.99445400000e+003, +9.61421385768e-001, +8.91957457567e+001, +2.55235742240e-005, +1.34949178434e-002
+6.03843100000e+003, +9.68549676462e-001, +8.91984762430e+001, +2.55255687237e-005, +1.35488209033e-002
+6.08273100000e+003, +9.75721832391e-001, +8.91938175502e+001, +2.55272805433e-005, +1.37284782338e-002
+6.12735600000e+003, +9.83099146375e-001, +8.91858186217e+001, +2.55329201699e-005, +1.39695120149e-002
+6.17230800000e+003, +9.90453051809e-001, +8.91855197817e+001, +2.55365694889e-005, +1.40791739931e-002
+6.21759000000e+003, +9.97845656739e-001, +8.91750429087e+001, +2.55397360453e-005, +1.43667023262e-002
+6.26320400000e+003, +1.00528046920e+000, +8.91720131328e+001, +2.55426216209e-005, +1.45268999373e-002
+6.30915300000e+003, +1.01281154398e+000, +8.91613759084e+001, +2.55464873494e-005, +1.48237416654e-002
+6.35543900000e+003, +1.02037815085e+000, +8.91618330874e+001, +2.55499030282e-005, +1.49263472459e-002
+6.40206400000e+003, +1.02790411979e+000, +8.91558556333e+001, +2.55508640012e-005, +1.51436648362e-002
+6.44903200000e+003, +1.03548706825e+000, +8.91487104692e+001, +2.55518495296e-005, +1.53844991003e-002
+6.49634400000e+003, +1.04280590286e+000, +8.91549125625e+001, +2.55450852601e-005, +1.53803687307e-002
+6.54400300000e+003, +1.05028255763e+000, +8.91567959121e+001, +2.55408745134e-005, +1.54561223608e-002
+6.59201200000e+003, +1.05772695055e+000, +8.91646227289e+001, +2.55346288680e-005, +1.54212012748e-002
+6.64037300000e+003, +1.06524245208e+000, +8.91692545430e+001, +2.55288040696e-005, +1.54446685048e-002
+6.68908900000e+003, +1.07302531724e+000, +8.91865245476e+001, +2.55281505596e-005, +1.52341138828e-002
+6.73816200000e+003, +1.08059636238e+000, +8.92166823970e+001, +2.55212297188e-005, +1.47728819048e-002
+6.78759500000e+003, +1.08831862384e+000, +8.92543649489e+001, +2.55166404944e-005, +1.41627466174e-002
+6.83739100000e+003, +1.09604140916e+000, +8.92833396716e+001, +2.55107192924e-005, +1.37090187296e-002
+6.88755200000e+003, +1.10410414189e+000, +8.92958545258e+001, +2.55112936744e-005, +1.35687195622e-002
+6.93808100000e+003, +1.11230595983e+000, +8.93058195943e+001, +2.55136829283e-005, +1.34760730822e-002
+6.98898100000e+003, +1.12067058554e+000, +8.92950621263e+001, +2.55182785194e-005, +1.37878080262e-002
+7.04025500000e+003, +1.12912499738e+000, +8.92659185243e+001, +2.55233759951e-005, +1.44661103308e-002
+7.09190400000e+003, +1.13772231692e+000, +8.92391786864e+001, +2.55302619245e-005, +1.51071851526e-002
+7.14393300000e+003, +1.14628735349e+000, +8.92275472059e+001, +2.55350545490e-005, +1.54535997847e-002
+7.19634300000e+003, +1.15480394336e+000, +8.92171298077e+001, +2.55373596699e-005, +1.57783603340e-002
+7.24913700000e+003, +1.16338467312e+000, +8.92236967382e+001, +2.55397885733e-005, +1.57622724025e-002
+7.30231900000e+003, +1.17178481026e+000, +8.92494131336e+001, +2.55370030083e-005, +1.53501905329e-002
+7.35589100000e+003, +1.18026177741e+000, +8.92605976829e+001, +2.55344803917e-005, +1.52308612925e-002
+7.40985600000e+003, +1.18871343529e+000, +8.92873555362e+001, +2.55301837407e-005, +1.47848273245e-002
+7.46421700000e+003, +1.19761088514e+000, +8.93000388735e+001, +2.55340203644e-005, +1.46304007001e-002
+7.51897700000e+003, +1.20621945331e+000, +8.93130361440e+001, +2.55303334334e-005, +1.44619607374e-002
+7.57413900000e+003, +1.21537300398e+000, +8.93256755695e+001, +2.55367936753e-005, +1.43036153078e-002
+7.62970500000e+003, +1.22447572687e+000, +8.93383084793e+001, +2.55407474965e-005, +1.41407831876e-002
+7.68567900000e+003, +1.23360331131e+000, +8.93462321930e+001, +2.55437787436e-005, +1.40756027422e-002
+7.74206300000e+003, +1.24257331354e+000, +8.93495355464e+001, +2.55421508322e-005, +1.41063166716e-002
+7.79886100000e+003, +1.25163265680e+000, +8.93526484461e+001, +2.55410129527e-005, +1.41411656106e-002
+7.85607600000e+003, +1.26042399883e+000, +8.93459372896e+001, +2.55330573690e-005, +1.43881179185e-002
+7.91371100000e+003, +1.26909345938e+000, +8.93414237771e+001, +2.55214215608e-005, +1.45870495190e-002
+7.97176800000e+003, +1.27779532418e+000, +8.93336740514e+001, +2.55092333121e-005, +1.48598901475e-002
+8.03025200000e+003, +1.28684322628e+000, +8.93278527513e+001, +2.55027323851e-005, +1.50958465420e-002
+8.08916400000e+003, +1.29604278876e+000, +8.93154992439e+001, +2.54979249178e-005, +1.54831852098e-002
+8.14850900000e+003, +1.30558139481e+000, +8.93093244093e+001, +2.54984851282e-005, +1.57378321750e-002
+8.20828900000e+003, +1.31583008344e+000, +8.92892038027e+001, +2.55113760110e-005, +1.63234192340e-002
+8.26850700000e+003, +1.32603246559e+000, +8.92652521819e+001, +2.55218105026e-005, +1.70042674264e-002
+8.32916800000e+003, +1.33603846810e+000, +8.92565429392e+001, +2.55270665304e-005, +1.73356461474e-002
+8.39027300000e+003, +1.34601602687e+000, +8.92489524189e+001, +2.55303611298e-005, +1.76434135196e-002
+8.45182700000e+003, +1.35610775306e+000, +8.92489939746e+001, +2.55344450188e-005, +1.77747111536e-002
+8.51383200000e+003, +1.36570683140e+000, +8.92744919529e+001, +2.55280545471e-005, +1.72928063228e-002
+8.57629200000e+003, +1.37519455657e+000, +8.92962151508e+001, +2.55183125774e-005, +1.68915889429e-002
+8.63921000000e+003, +1.38494377931e+000, +8.93163283500e+001, +2.55121656714e-005, +1.65252020004e-002
+8.70259000000e+003, +1.39494171210e+000, +8.93344422736e+001, +2.55092898016e-005, +1.62035208017e-002
+8.76643500000e+003, +1.40501877161e+000, +8.93432018083e+001, +2.55064904333e-005, +1.61057862504e-002
+8.83074800000e+003, +1.41576542952e+000, +8.93448750920e+001, +2.55144113669e-005, +1.61876318777e-002
+8.89553300000e+003, +1.42688550602e+000, +8.93416036879e+001, +2.55275190340e-005, +1.63962422304e-002
+8.96079400000e+003, +1.43785394787e+000, +8.93430153126e+001, +2.55364110787e-005, +1.64868570431e-002
+9.02653300000e+003, +1.44877586199e+000, +8.93407786231e+001, +2.55429829078e-005, +1.66686439249e-002
+9.09275400000e+003, +1.45957635955e+000, +8.93369579347e+001, +2.55459719020e-005, +1.68902305246e-002
+9.15946200000e+003, +1.47005167370e+000, +8.93343334814e+001, +2.55419150523e-005, +1.70787826591e-002
+9.22665800000e+003, +1.47989987107e+000, +8.93298405370e+001, +2.55257394971e-005, +1.73092380959e-002
+9.29434800000e+003, +1.48988796323e+000, +8.93269239190e+001, +2.55108451449e-005, +1.75018979626e-002
+9.36253400000e+003, +1.50006808308e+000, +8.93277773098e+001, +2.54980990079e-005, +1.75991438963e-002
+9.43122100000e+003, +1.51049787756e+000, +8.93198865224e+001, +2.54883505839e-005, +1.79295202588e-002
+9.50041100000e+003, +1.52123065729e+000, +8.93175922456e+001, +2.54824982434e-005, +1.81178275716e-002
+9.57010900000e+003, +1.53255574864e+000, +8.93057718402e+001, +2.54851766619e-005, +1.85688602776e-002
+9.64031800000e+003, +1.54393649356e+000, +8.92985625797e+001, +2.54874072441e-005, +1.89010043776e-002
+9.71104200000e+003, +1.55545171371e+000, +8.92923519087e+001, +2.54904620674e-005, +1.92105677210e-002
+9.78228600000e+003, +1.56706079495e+000, +8.92901005628e+001, +2.54936656169e-005, +1.94155158212e-002
+9.85405200000e+003, +1.57868196020e+000, +8.92791317359e+001, +2.54956186165e-005, +1.98617020362e-002
+9.92634400000e+003, +1.59027435879e+000, +8.92744548189e+001, +2.54957648419e-005, +2.01373481778e-002
+9.99916700000e+003, +1.60188200027e+000, +8.92712379640e+001, +2.54948053280e-005, +2.03742635372e-002
+1.00725240000e+004, +1.61363573267e+000, +8.92735272568e+001, +2.54948471416e-005, +2.04592899769e-002
+1.01464190000e+004, +1.62544886848e+000, +8.92787790059e+001, +2.54944850103e-005, +2.04600914815e-002
+1.02208560000e+004, +1.63734995131e+000, +8.92795112365e+001, +2.54941205613e-005, +2.05889711541e-002
+1.02958390000e+004, +1.64930498160e+000, +8.92831633672e+001, +2.54932596264e-005, +2.06341792749e-002
+1.03713730000e+004, +1.66140934924e+000, +8.92976180851e+001, +2.54934078678e-005, +2.03665027727e-002
+1.04474600000e+004, +1.67350851730e+000, +8.93074343293e+001, +2.54921000155e-005, +2.02281273595e-002
+1.05241060000e+004, +1.68564672559e+000, +8.93137717447e+001, +2.54900289853e-005, +2.01884111960e-002
+1.06013140000e+004, +1.69813287664e+000, +8.93169330179e+001, +2.54918433033e-005, +2.02442663778e-002
+1.06790890000e+004, +1.71063011921e+000, +8.93166240959e+001, +2.54924249043e-005, +2.04024746302e-002
+1.07574340000e+004, +1.72336626882e+000, +8.93158721187e+001, +2.54951792787e-005, +2.05769937904e-002
+1.08363540000e+004, +1.73626799213e+000, +8.93037403677e+001, +2.54989113737e-005, +2.10986493423e-002
+1.09158530000e+004, +1.74919837273e+000, +8.92947480036e+001, +2.55016697210e-005, +2.15302855461e-002
+1.09959350000e+004, +1.76188600460e+000, +8.92893338794e+001, +2.54995411383e-005, +2.18529287367e-002
+1.10766040000e+004, +1.77482393139e+000, +8.92785685598e+001, +2.54996576774e-005, +2.23468458361e-002
+1.11578660000e+004, +1.78760240002e+000, +8.92696982440e+001, +2.54961519941e-005, +2.27844674391e-002
+1.12397230000e+004, +1.80000661959e+000, +8.92601228848e+001, +2.54860431816e-005, +2.32433645813e-002
+1.13221810000e+004, +1.81267338811e+000, +8.92550808421e+001, +2.54784433777e-005, +2.35664320264e-002
+1.14052440000e+004, +1.82546627245e+000, +8.92516376069e+001, +2.54713707750e-005, +2.38424448891e-002
+1.14889170000e+004, +1.83855603101e+000, +8.92471132592e+001, +2.54671539603e-005, +2.41585791240e-002
+1.15732030000e+004, +1.85193875935e+000, +8.92433724159e+001, +2.54656820646e-005, +2.44553304834e-002
+1.16581080000e+004, +1.86539807185e+000, +8.92492084621e+001, +2.54639805358e-005, +2.44430744963e-002
+1.17436350000e+004, +1.87916711280e+000, +8.92533811117e+001, +2.54651428281e-005, +2.44866544463e-002
+1.18297900000e+004, +1.89314783017e+000, +8.92570987138e+001, +2.54677815981e-005, +2.45460060495e-002
+1.19165770000e+004, +1.90697784962e+000, +8.92580579106e+001, +2.54670032212e-005, +2.46933997675e-002
+1.20040010000e+004, +1.92103153964e+000, +8.92607035619e+001, +2.54678597606e-005, +2.47866837353e-002
+1.20920660000e+004, +1.93538480448e+000, +8.92569167913e+001, +2.54712597146e-005, +2.50997830325e-002
+1.21807770000e+004, +1.94961485318e+000, +8.92492466629e+001, +2.54716266631e-005, +2.55453017010e-002
+1.22701390000e+004, +1.96407264775e+000, +8.92467526490e+001, +2.54736199459e-005, +2.58202247339e-002
+1.23601560000e+004, +1.97849894333e+000, +8.92475542354e+001, +2.54738478457e-005, +2.59821992301e-002
+1.24508340000e+004, +1.99292863969e+000, +8.92508619808e+001, +2.54727781851e-005, +2.60566500392e-002
+1.25421780000e+004, +2.00753523417e+000, +8.92566638234e+001, +2.54726305975e-005, +2.60443564282e-002
+1.26341910000e+004, +2.02198692532e+000, +8.92675072291e+001, +2.54692141314e-005, +2.58492069285e-002
+1.27268790000e+004, +2.03663841773e+000, +8.92787446041e+001, +2.54669970016e-005, +2.56371004167e-002
+1.28202470000e+004, +2.05122734564e+000, +8.92894964497e+001, +2.54626818638e-005, +2.54358518548e-002
+1.29143010000e+004, +2.06608660854e+000, +8.92934251518e+001, +2.54603708639e-005, +2.54784530810e-002
+1.30090440000e+004, +2.08096954126e+000, +8.93000208007e+001, +2.54570491937e-005, +2.54224512045e-002
+1.31044820000e+004, +2.09601636666e+000, +8.93009189893e+001, +2.54543853655e-005, +2.55734173866e-002
+1.32006210000e+004, +2.11112032833e+000, +8.92988516395e+001, +2.54510812739e-005, +2.58338681416e-002
+1.32974650000e+004, +2.12644113238e+000, +8.93020829435e+001, +2.54490995152e-005, +2.59014337290e-002
+1.33950190000e+004, +2.14180465513e+000, +8.92999580528e+001, +2.54462763398e-005, +2.61679971943e-002
+1.34932890000e+004, +2.15744661407e+000, +8.92995803789e+001, +2.54454371104e-005, +2.63733265504e-002
+1.35922800000e+004, +2.17315794828e+000, +8.93016413359e+001, +2.54440857740e-005, +2.64872232659e-002
+1.36919970000e+004, +2.18902343018e+000, +8.92966285864e+001, +2.54431583389e-005, +2.68720985186e-002
+1.37924460000e+004, +2.20498725252e+000, +8.92970019562e+001, +2.54420575946e-005, +2.70537000366e-002
+1.38936320000e+004, +2.22107316440e+000, +8.92946674468e+001, +2.54410069432e-005, +2.73415537960e-002
+1.39955600000e+004, +2.23749319999e+000, +8.92953929599e+001, +2.54424385642e-005, +2.75153551726e-002
+1.40982350000e+004, +2.25402528293e+000, +8.92927709278e+001, +2.54437478855e-005, +2.78218001953e-002
+1.42016640000e+004, +2.27089214958e+000, +8.92890901606e+001, +2.54474328036e-005, +2.81758650331e-002
+1.43058520000e+004, +2.28774128814e+000, +8.92868626434e+001, +2.54495245514e-005, +2.84738538339e-002
+1.44108040000e+004, +2.30472616065e+000, +8.92853660992e+001, +2.54517394978e-005, +2.87454461079e-002
+1.45165260000e+004, +2.32174093583e+000, +8.92834018515e+001, +2.54528973450e-005, +2.90372501246e-002
+1.46230240000e+004, +2.33868581100e+000, +8.92839837511e+001, +2.54519409297e-005, +2.92254241164e-002
+1.47303030000e+004, +2.35559046837e+000, +8.92884849752e+001, +2.54492361536e-005, +2.92516298234e-002
+1.48383690000e+004, +2.37253359713e+000, +8.92904663514e+001, +2.54456198226e-005, +2.93799893804e-002
+1.49472280000e+004, +2.38988144254e+000, +8.92927069579e+001, +2.54450165549e-005, +2.95013629076e-002
+1.50568860000e+004, +2.40725652388e+000, +8.92925064384e+001, +2.54433464354e-005, +2.97242698476e-002
+1.51673480000e+004, +2.42500166965e+000, +8.92954579783e+001, +2.54442519600e-005, +2.98184707084e-002
+1.52786200000e+004, +2.44293899307e+000, +8.92955027789e+001, +2.54457814695e-005, +3.00371228112e-002
+1.53907090000e+004, +2.46114742072e+000, +8.92906310629e+001, +2.54487143479e-005, +3.04702535299e-002
+1.55036200000e+004, +2.47953763484e+000, +8.92893422681e+001, +2.54521406043e-005, +3.07537034313e-002
+1.56173590000e+004, +2.49763017492e+000, +8.92870822095e+001, +2.54511289022e-005, +3.10766177742e-002
+1.57319330000e+004, +2.51607688710e+000, +8.92876304764e+001, +2.54523791094e-005, +3.12820652765e-002
+1.58473470000e+004, +2.53415792385e+000, +8.92907433501e+001, +2.54486040242e-005, +3.13691945790e-002
+1.59636080000e+004, +2.55204781616e+000, +8.92975794568e+001, +2.54416484212e-005, +3.12861771845e-002
+1.60807220000e+004, +2.57022888312e+000, +8.93013624701e+001, +2.54363094964e-005, +3.13393739753e-002
+1.61986950000e+004, +2.58878103884e+000, +8.93017126893e+001, +2.54333265861e-005, +3.15497618588e-002
+1.63175340000e+004, +2.60740621015e+000, +8.93043867362e+001, +2.54297618575e-005, +3.16550678379e-002
+1.64372440000e+004, +2.62637428443e+000, +8.93010631029e+001, +2.54281891138e-005, +3.20376890109e-002
+1.65578330000e+004, +2.64598196735e+000, +8.92967627180e+001, +2.54314311337e-005, +3.24754539295e-002
+1.66793060000e+004, +2.66577029610e+000, +8.92916616039e+001, +2.54349969648e-005, +3.29556447600e-002
+1.68016710000e+004, +2.68555806675e+000, +8.92869166084e+001, +2.54371567725e-005, +3.34226610287e-002
+1.69249330000e+004, +2.70531913600e+000, +8.92881484956e+001, +2.54377185810e-005, +3.36104329089e-002
+1.70491000000e+004, +2.72526033075e+000, +8.92864688544e+001, +2.54385873312e-005, +3.39380645394e-002
+1.71741770000e+004, +2.74486503427e+000, +8.92939923735e+001, +2.54350280301e-005, +3.38218037070e-002
+1.73001720000e+004, +2.76456803542e+000, +8.93039033138e+001, +2.54310880020e-005, +3.35864059030e-002
+1.74270920000e+004, +2.78446752842e+000, +8.93095732016e+001, +2.54276270613e-005, +3.35526367079e-002
+1.75549420000e+004, +2.80460749080e+000, +8.93128386961e+001, +2.54250366541e-005, +3.36354886154e-002
+1.76837310000e+004, +2.82494903109e+000, +8.93154658715e+001, +2.54229446510e-005, +3.37499207706e-002
+1.78134640000e+004, +2.84553869145e+000, +8.93140281780e+001, +2.54217310502e-005, +3.40673038275e-002
+1.79441490000e+004, +2.86635454431e+000, +8.93041450203e+001, +2.54211470510e-005, +3.48109069733e-002
+1.80757930000e+004, +2.88747233050e+000, +8.92965033971e+001, +2.54218918181e-005, +3.54524531029e-002
+1.82084030000e+004, +2.90860792793e+000, +8.92915203807e+001, +2.54214463154e-005, +3.59648990192e-002
+1.83419850000e+004, +2.92990770289e+000, +8.92849050814e+001, +2.54210749727e-005, +3.65665278458e-002
+1.84765480000e+004, +2.95139717107e+000, +8.92854994180e+001, +2.54210323990e-005, +3.68041129480e-002
+1.86120970000e+004, +2.97320507589e+000, +8.92829670628e+001, +2.54223492410e-005, +3.72074582028e-002
+1.87486410000e+004, +2.99501399364e+000, +8.92824447838e+001, +2.54223173246e-005, +3.75076795235e-002
+1.88861870000e+004, +3.01704236513e+000, +8.92836115482e+001, +2.54227956410e-005, +3.77221151698e-002
+1.90247420000e+004, +3.03938308604e+000, +8.92866041945e+001, +2.54245416846e-005, +3.78427021860e-002
+1.91643130000e+004, +3.06156518343e+000, +8.92884347033e+001, +2.54235910459e-005, +3.80210821209e-002
+1.93049090000e+004, +3.08416728887e+000, +8.92943432081e+001, +2.54247891976e-005, +3.79837501750e-002
+1.94465360000e+004, +3.10701182526e+000, +8.92995664834e+001, +2.54266024594e-005, +3.79818728680e-002
+1.95892010000e+004, +3.12990849794e+000, +8.93027070927e+001, +2.54274546199e-005, +3.80902248080e-002
+1.97329140000e+004, +3.15286746353e+000, +8.93063426023e+001, +2.54274491950e-005, +3.81695900480e-002
+1.98776810000e+004, +3.17595282736e+000, +8.93076637630e+001, +2.54270953279e-005, +3.83758409289e-002
+2.00235090000e+004, +3.19890729771e+000, +8.93022693110e+001, +2.54243229264e-005, +3.89543635934e-002
+2.01704080000e+004, +3.22171374338e+000, +8.92943459466e+001, +2.54190584537e-005, +3.96775802430e-002
+2.03183840000e+004, +3.24482610535e+000, +8.92860402287e+001, +2.54149158837e-005, +4.04325653748e-002
+2.04674460000e+004, +3.26826439717e+000, +8.92818435941e+001, +2.54120408824e-005, +4.09639867971e-002
+2.06176020000e+004, +3.29186166649e+000, +8.92768637654e+001, +2.54090814652e-005, +4.15458393776e-002
+2.07688590000e+004, +3.31577274996e+000, +8.92723570196e+001, +2.54072246991e-005, +4.21084054065e-002
+2.09212260000e+004, +3.34019716995e+000, +8.92802571431e+001, +2.54080208718e-005, +4.19580612561e-002
+2.10747100000e+004, +3.36473610974e+000, +8.92840255318e+001, +2.54083009242e-005, +4.20450244441e-002
+2.12293210000e+004, +3.38946182996e+000, +8.92869876695e+001, +2.54086239827e-005, +4.21787734173e-002
+2.13850660000e+004, +3.41454227102e+000, +8.92855962850e+001, +2.54102109109e-005, +4.25737898593e-002
+2.15419530000e+004, +3.43967092653e+000, +8.92828231680e+001, +2.54107761377e-005, +4.30535704901e-002
+2.16999920000e+004, +3.46524990693e+000, +8.92728585538e+001, +2.54132461710e-005, +4.39763489076e-002
+2.18591890000e+004, +3.49087983595e+000, +8.92602147774e+001, +2.54146880993e-005, +4.50718985501e-002
+2.20195550000e+004, +3.51663402075e+000, +8.92481286557e+001, +2.54156588494e-005, +4.61461644410e-002
+2.21810970000e+004, +3.54262585950e+000, +8.92400414084e+001, +2.54169945430e-005, +4.69872308560e-002
+2.23438250000e+004, +3.56877374696e+000, +8.92329667021e+001, +2.54180779857e-005, +4.77746625699e-002
+2.25077460000e+004, +3.59469683502e+000, +8.92308128988e+001, +2.54162374120e-005, +4.82568071879e-002
+2.26728700000e+004, +3.62109446550e+000, +8.92362869619e+001, +2.54164509068e-005, +4.82652507581e-002
+2.28392050000e+004, +3.64726379744e+000, +8.92368305910e+001, +2.54136940931e-005, +4.85794568973e-002
+2.30067610000e+004, +3.67374501220e+000, +8.92388681215e+001, +2.54117947388e-005, +4.88015387006e-002
+2.31755450000e+004, +3.70047930461e+000, +8.92423404947e+001, +2.54103228449e-005, +4.89324280447e-002
+2.33455680000e+004, +3.72727558810e+000, +8.92429007816e+001, +2.54079294766e-005, +4.92503171831e-002
+2.35168380000e+004, +3.75393091888e+000, +8.92448315176e+001, +2.54032777839e-005, +4.94760392995e-002
+2.36893650000e+004, +3.78089298924e+000, +8.92486382462e+001, +2.53994173322e-005, +4.95802132280e-002
+2.38631580000e+004, +3.80820451152e+000, +8.92491553888e+001, +2.53965770040e-005, +4.99039897763e-002
+2.40382250000e+004, +3.83578106592e+000, +8.92489763363e+001, +2.53941825068e-005, +5.02773481945e-002
+2.42145770000e+004, +3.86352298897e+000, +8.92477221359e+001, +2.53915557187e-005, +5.07255393106e-002
+2.43922230000e+004, +3.89190687422e+000, +8.92433711614e+001, +2.53917901622e-005, +5.13937224662e-002
+2.45711720000e+004, +3.92049974558e+000, +8.92349078730e+001, +2.53920034471e-005, +5.23503541224e-002
+2.47514330000e+004, +3.94938160083e+000, +8.92315672492e+001, +2.53927549933e-005, +5.29662605710e-002
+2.49330180000e+004, +3.97833820029e+000, +8.92255732926e+001, +2.53926080491e-005, +5.37707588758e-002
+2.51159340000e+004, +4.00750716462e+000, +8.92213908442e+001, +2.53924732951e-005, +5.44575143428e-002
+2.53001920000e+004, +4.03675969163e+000, +8.92170151775e+001, +2.53915175489e-005, +5.51632811483e-002
+2.54858020000e+004, +4.06628711563e+000, +8.92163543470e+001, +2.53909672451e-005, +5.56136752418e-002
+2.56727740000e+004, +4.09603344286e+000, +8.92139643409e+001, +2.53904242498e-005, +5.61913526944e-002
+2.58611170000e+004, +4.12614494251e+000, +8.92097310275e+001, +2.53907787181e-005, +5.69092691328e-002
+2.60508420000e+004, +4.15638715020e+000, +8.92051365554e+001, +2.53905767966e-005, +5.76596437440e-002
+2.62419590000e+004, +4.18677786310e+000, +8.92031009632e+001, +2.53899467765e-005, +5.82299726991e-002
+2.64344790000e+004, +4.21783696018e+000, +8.91986473660e+001, +2.53919869309e-005, +5.89897648996e-002
+2.66284100000e+004, +4.24898357532e+000, +8.91912863925e+001, +2.53931563152e-005, +5.99712015258e-002
+2.68237640000e+004, +4.28020113525e+000, +8.91883857895e+001, +2.53934095154e-005, +6.06284776989e-002
+2.70205520000e+004, +4.31159194904e+000, +8.91855121846e+001, +2.53933316234e-005, +6.12893456214e-002
+2.72187830000e+004, +4.34300154687e+000, +8.91821727170e+001, +2.53920151901e-005, +6.19889384154e-002
+2.74184680000e+004, +4.37412319014e+000, +8.91802943293e+001, +2.53877088993e-005, +6.25765336141e-002
+2.76196190000e+004, +4.40548697315e+000, +8.91797569380e+001, +2.53835210472e-005, +6.30665421608e-002
+2.78222450000e+004, +4.43715488147e+000, +8.91794913012e+001, +2.53797894816e-005, +6.35404522123e-002
+2.80263570000e+004, +4.46931573143e+000, +8.91801708885e+001, +2.53775713758e-005, +6.39479931609e-002
+2.82319670000e+004, +4.50178459004e+000, +8.91805338172e+001, +2.53757731597e-005, +6.43840522816e-002
+2.84390860000e+004, +4.53490582159e+000, +8.91806128082e+001, +2.53763033471e-005, +6.48514972546e-002
+2.86477240000e+004, +4.56871148444e+000, +8.91837264476e+001, +2.53793015259e-005, +6.50866823235e-002
+2.88578920000e+004, +4.60278594149e+000, +8.91852225021e+001, +2.53823829405e-005, +6.54519416184e-002
+2.90696030000e+004, +4.63682421369e+000, +8.91836851627e+001, +2.53838552692e-005, +6.60603692275e-002
+2.92828660000e+004, +4.67096609189e+000, +8.91830907646e+001, +2.53845297300e-005, +6.65952377698e-002
+2.94976940000e+004, +4.70525323956e+000, +8.91862132747e+001, +2.53846547360e-005, +6.68276776706e-002
+2.97140990000e+004, +4.73941873045e+000, +8.91852818429e+001, +2.53827538818e-005, +6.73899614602e-002
+2.99320900000e+004, +4.77380209148e+000, +8.91825540967e+001, +2.53806825783e-005, +6.81061085217e-002
+3.01516820000e+004, +4.80846932564e+000, +8.91826032873e+001, +2.53788092060e-005, +6.85965655857e-002
+3.03728840000e+004, +4.84353525581e+000, +8.91791440068e+001, +2.53776845015e-005, +6.93892110286e-002
+3.05957080000e+004, +4.87871741863e+000, +8.91760882208e+001, +2.53758374756e-005, +7.01534083646e-002
+3.08201680000e+004, +4.91414930898e+000, +8.91718632652e+001, +2.53739518776e-005, +7.10252291398e-002
+3.10462740000e+004, +4.94970998917e+000, +8.91687454696e+001, +2.53714151277e-005, +7.18085092804e-002
+3.12740390000e+004, +4.98569700576e+000, +8.91650403901e+001, +2.53697345760e-005, +7.26529654031e-002
+3.15034750000e+004, +5.02201543014e+000, +8.91596609801e+001, +2.53683955339e-005, +7.36536662855e-002
+3.17345950000e+004, +5.05873346598e+000, +8.91575278562e+001, +2.53677541085e-005, +7.43804952770e-002
+3.19674090000e+004, +5.09569187732e+000, +8.91535709995e+001, +2.53669621847e-005, +7.52757801158e-002
+3.22019320000e+004, +5.13331812558e+000, +8.91533213071e+001, +2.53681596681e-005, +7.58539797704e-002
+3.24381760000e+004, +5.17082954735e+000, +8.91524163649e+001, +2.53674262322e-005, +7.64899385874e-002
+3.26761520000e+004, +5.20892246975e+000, +8.91490561696e+001, +2.53681746154e-005, +7.73588827684e-002
+3.29158740000e+004, +5.24690357156e+000, +8.91473254979e+001, +2.53670362252e-005, +7.80814187112e-002
+3.31573550000e+004, +5.28517892859e+000, +8.91417102061e+001, +2.53659550048e-005, +7.91689286619e-002
+3.34006080000e+004, +5.32323225857e+000, +8.91336510204e+001, +2.53624687789e-005, +8.04876230319e-002
+3.36456450000e+004, +5.36171502077e+000, +8.91254058095e+001, +2.53597169464e-005, +8.18409792713e-002
+3.38924800000e+004, +5.40044985446e+000, +8.91196158232e+001, +2.53568586764e-005, +8.29779008527e-002
+3.41411260000e+004, +5.43974680683e+000, +8.91134494493e+001, +2.53553135532e-005, +8.41670735941e-002
+3.43915960000e+004, +5.47923777017e+000, +8.91096440276e+001, +2.53533591854e-005, +8.51419733547e-002
+3.46439030000e+004, +5.51926723867e+000, +8.91113839413e+001, +2.53526001103e-005, +8.55964073599e-002
+3.48980610000e+004, +5.55976479177e+000, +8.91128057841e+001, +2.53526397897e-005, +8.60865162471e-002
+3.51540840000e+004, +5.60072256445e+000, +8.91125514539e+001, +2.53534058555e-005, +8.67455579665e-002
+3.54119860000e+004, +5.64160848609e+000, +8.91129712896e+001, +2.53524972307e-005, +8.73374765430e-002
