!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:07:18 2026

BEGIN CH1_DATA
DCV(V), -5.838e-005, DCI(A), +2.609e-006
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+5.69545200000e+003, +8.94204947381e-001, +8.92502805388e+001, +2.49857173720e-005, +1.17004031749e-002
+5.73723600000e+003, +9.00434127177e-001, +8.92478637314e+001, +2.49765208609e-005, +1.18198882947e-002
+5.77932600000e+003, +9.06998401607e-001, +8.92196717955e+001, +2.49752119016e-005, +1.23522982092e-002
+5.82172500000e+003, +9.13537315720e-001, +8.92012121729e+001, +2.49719541869e-005, +1.27356474619e-002
+5.86443500000e+003, +9.20210278211e-001, +8.91774656846e+001, +2.49710198777e-005, +1.32100224329e-002
+5.90745800000e+003, +9.26859015495e-001, +8.91703845454e+001, +2.49682232998e-005, +1.34200058280e-002
+5.95079700000e+003, +9.33754833506e-001, +8.91575348275e+001, +2.49707110903e-005, +1.37292412780e-002
+5.99445400000e+003, +9.40774810323e-001, +8.91501445739e+001, +2.49751671587e-005, +1.39537897400e-002
+6.03843100000e+003, +9.47741516069e-001, +8.91470691656e+001, +2.49768580707e-005, +1.41079868901e-002
+6.08273100000e+003, +9.54840426823e-001, +8.91436326966e+001, +2.49806541921e-005, +1.42709233369e-002
+6.12735600000e+003, +9.61972532061e-001, +8.91487226601e+001, +2.49839874405e-005, +1.42920699707e-002
+6.17230800000e+003, +9.69211248751e-001, +8.91374771581e+001, +2.49885914563e-005, +1.45898227375e-002
+6.21759000000e+003, +9.76424294303e-001, +8.91314503460e+001, +2.49911779009e-005, +1.48010989609e-002
+6.26320400000e+003, +9.83585338310e-001, +8.91228864756e+001, +2.49910630374e-005, +1.50566466495e-002
+6.30915300000e+003, +9.91130720852e-001, +8.91129174424e+001, +2.49993061933e-005, +1.53445795982e-002
+6.35543900000e+003, +9.98437220215e-001, +8.91083181063e+001, +2.50001574695e-005, +1.55378364910e-002
+6.40206400000e+003, +1.00582858322e+000, +8.91073842024e+001, +2.50018063960e-005, +1.56692547546e-002
+6.44903200000e+003, +1.01310287136e+000, +8.91027770633e+001, +2.49991875655e-005, +1.58640303293e-002
+6.49634400000e+003, +1.02037197981e+000, +8.91085318446e+001, +2.49952262185e-005, +1.58753826844e-002
+6.54400300000e+003, +1.02756248254e+000, +8.91118725697e+001, +2.49880694569e-005, +1.59273490915e-002
+6.59201200000e+003, +1.03504090304e+000, +8.91156016186e+001, +2.49866432170e-005, +1.59759088282e-002
+6.64037300000e+003, +1.04241141965e+000, +8.91208719747e+001, +2.49813378230e-005, +1.59937981956e-002
+6.68908900000e+003, +1.04998506666e+000, +8.91344483769e+001, +2.49796714482e-005, +1.58612330514e-002
+6.73816200000e+003, +1.05731580871e+000, +8.91750019504e+001, +2.49711409864e-005, +1.52236926707e-002
+6.78759500000e+003, +1.06490662351e+000, +8.92090206502e+001, +2.49674594305e-005, +1.47007755329e-002
+6.83739100000e+003, +1.07258183899e+000, +8.92375887220e+001, +2.49644328744e-005, +1.42719824279e-002
+6.88755200000e+003, +1.08031054739e+000, +8.92590636142e+001, +2.49613196852e-005, +1.39699483925e-002
+6.93808100000e+003, +1.08825397022e+000, +8.92697871953e+001, +2.49617917088e-005, +1.38690053392e-002
+6.98898100000e+003, +1.09640175144e+000, +8.92462227738e+001, +2.49653930597e-005, +1.44237296092e-002
+7.04025500000e+003, +1.10478326964e+000, +8.92191146982e+001, +2.49728721864e-005, +1.50566466923e-002
+7.09190400000e+003, +1.11314901771e+000, +8.92013214775e+001, +2.49786173664e-005, +1.55163160102e-002
+7.14393300000e+003, +1.12155901997e+000, +8.91821979891e+001, +2.49839240370e-005, +1.60078471105e-002
+7.19634300000e+003, +1.12993232372e+000, +8.91750973465e+001, +2.49870909233e-005, +1.62673757087e-002
+7.24913700000e+003, +1.13831953405e+000, +8.91772222849e+001, +2.49892505967e-005, +1.63459117584e-002
+7.30231900000e+003, +1.14650435664e+000, +8.92009990250e+001, +2.49857741639e-005, +1.59877117670e-002
+7.35589100000e+003, +1.15480332513e+000, +8.92195979067e+001, +2.49834600753e-005, +1.57286116830e-002
+7.40985600000e+003, +1.16314298892e+000, +8.92399721977e+001, +2.49807377640e-005, +1.54286247965e-002
+7.46421700000e+003, +1.17157232512e+000, +8.92542672484e+001, +2.49786057106e-005, +1.52481595333e-002
+7.51897700000e+003, +1.18025879088e+000, +8.92669829335e+001, +2.49806121499e-005, +1.50993012673e-002
+7.57413900000e+003, +1.18899930611e+000, +8.92799916855e+001, +2.49824006855e-005, +1.49411852296e-002
+7.62970500000e+003, +1.19796950925e+000, +8.92935907729e+001, +2.49876342645e-005, +1.47695918053e-002
+7.68567900000e+003, +1.20697655458e+000, +8.93058791905e+001, +2.49922210448e-005, +1.46217933907e-002
+7.74206300000e+003, +1.21568969330e+000, +8.93059938138e+001, +2.49893123412e-005, +1.47249159400e-002
+7.79886100000e+003, +1.22455074759e+000, +8.93107969698e+001, +2.49881623504e-005, +1.47295968479e-002
+7.85607600000e+003, +1.23320418247e+000, +8.93068542200e+001, +2.49814511966e-005, +1.49185408074e-002
+7.91371100000e+003, +1.24164469797e+000, +8.93027202277e+001, +2.49692284256e-005, +1.51102292172e-002
+7.97176800000e+003, +1.25014915768e+000, +8.92940458280e+001, +2.49571130721e-005, +1.54029789088e-002
+8.03025200000e+003, +1.25904921039e+000, +8.92847145650e+001, +2.49516815259e-005, +1.57176702564e-002
+8.08916400000e+003, +1.26792762314e+000, +8.92813712302e+001, +2.49446143379e-005, +1.59024868170e-002
+8.14850900000e+003, +1.27734995632e+000, +8.92666259395e+001, +2.49468836962e-005, +1.63493673166e-002
+8.20828900000e+003, +1.28732870052e+000, +8.92412725168e+001, +2.49585220762e-005, +1.70466852389e-002
+8.26850700000e+003, +1.29726017184e+000, +8.92264309742e+001, +2.49678147768e-005, +1.75142010159e-002
+8.32916800000e+003, +1.30704948553e+000, +8.92175326549e+001, +2.49729610731e-005, +1.78493382861e-002
+8.39027300000e+003, +1.31689858468e+000, +8.92086361868e+001, +2.49778437398e-005, +1.81882986829e-002
+8.45182700000e+003, +1.32678139463e+000, +8.92058850641e+001, +2.49819992380e-005, +1.83884956028e-002
+8.51383200000e+003, +1.33608472741e+000, +8.92335469869e+001, +2.49741201063e-005, +1.78724442242e-002
+8.57629200000e+003, +1.34541707055e+000, +8.92563229746e+001, +2.49655375882e-005, +1.74625021205e-002
+8.63921000000e+003, +1.35493525736e+000, +8.92786039218e+001, +2.49591746575e-005, +1.70591824414e-002
+8.70259000000e+003, +1.36465648049e+000, +8.92927605581e+001, +2.49552464717e-005, +1.68444235687e-002
+8.76643500000e+003, +1.37459171141e+000, +8.93042263505e+001, +2.49539219824e-005, +1.66920005937e-002
+8.83074800000e+003, +1.38494973738e+000, +8.93055516997e+001, +2.49588603813e-005, +1.67857467222e-002
+8.89553300000e+003, +1.39601059630e+000, +8.93033749394e+001, +2.49749582174e-005, +1.69728383918e-002
+8.96079400000e+003, +1.40665722416e+000, +8.93020178717e+001, +2.49821431753e-005, +1.71355958033e-002
+9.02653300000e+003, +1.41729875773e+000, +8.93008691315e+001, +2.49878121018e-005, +1.72936424115e-002
+9.09275400000e+003, +1.42800549884e+000, +8.92958632059e+001, +2.49931947231e-005, +1.75490395974e-002
+9.15946200000e+003, +1.43802560319e+000, +8.92924182807e+001, +2.49852480941e-005, +1.77586337642e-002
+9.22665800000e+003, +1.44758100610e+000, +8.92876653981e+001, +2.49680726551e-005, +1.79967090841e-002
+9.29434800000e+003, +1.45748934654e+000, +8.92888966109e+001, +2.49558945620e-005, +1.80885750276e-002
+9.36253400000e+003, +1.46742775702e+000, +8.92874114077e+001, +2.49430676386e-005, +1.82499536856e-002
+9.43122100000e+003, +1.47752071998e+000, +8.92792952036e+001, +2.49316735246e-005, +1.85847578685e-002
+9.50041100000e+003, +1.48809378703e+000, +8.92777914174e+001, +2.49272023497e-005, +1.87568029419e-002
+9.57010900000e+003, +1.49913305377e+000, +8.92667279362e+001, +2.49291723367e-005, +1.91853988151e-002
+9.64031800000e+003, +1.51036913662e+000, +8.92562208378e+001, +2.49330426682e-005, +1.96061481223e-002
+9.71104200000e+003, +1.52162436294e+000, +8.92493811206e+001, +2.49358675412e-005, +1.99338819130e-002
+9.78228600000e+003, +1.53295082211e+000, +8.92429990733e+001, +2.49384864377e-005, +2.02530001636e-002
+9.85405200000e+003, +1.54417041514e+000, +8.92415273166e+001, +2.49380479313e-005, +2.04408925289e-002
+9.92634400000e+003, +1.55565690046e+000, +8.92325458576e+001, +2.49405294667e-005, +2.08367813883e-002
+9.99916700000e+003, +1.56702181486e+000, +8.92353823922e+001, +2.49397834986e-005, +2.09114339304e-002
+1.00725240000e+004, +1.57847012958e+000, +8.92324718955e+001, +2.49390106350e-005, +2.11443838047e-002
+1.01464190000e+004, +1.59009571711e+000, +8.92364377803e+001, +2.49397468120e-005, +2.11900612482e-002
+1.02208560000e+004, +1.60169889457e+000, +8.92381929063e+001, +2.49387882890e-005, +2.12956283830e-002
+1.02958390000e+004, +1.61332866858e+000, +8.92411572368e+001, +2.49369393416e-005, +2.13667918272e-002
+1.03713730000e+004, +1.62517722189e+000, +8.92538193545e+001, +2.49372049178e-005, +2.11645869801e-002
+1.04474600000e+004, +1.63697268033e+000, +8.92664198148e+001, +2.49353373894e-005, +2.09582263120e-002
+1.05241060000e+004, +1.64891541756e+000, +8.92725433596e+001, +2.49343637774e-005, +2.09349144596e-002
+1.06013140000e+004, +1.66108395747e+000, +8.92785179562e+001, +2.49354715067e-005, +2.09162103614e-002
+1.06790890000e+004, +1.67331532697e+000, +8.92800265084e+001, +2.49361513855e-005, +2.10261730228e-002
+1.07574340000e+004, +1.68567789385e+000, +8.92702924788e+001, +2.49373792722e-005, +2.14678741739e-002
+1.08363540000e+004, +1.69828154056e+000, +8.92642437274e+001, +2.49408257374e-005, +2.18076613305e-002
+1.09158530000e+004, +1.71083036203e+000, +8.92610982028e+001, +2.49421155339e-005, +2.20627173538e-002
+1.09959350000e+004, +1.72350870887e+000, +8.92482439835e+001, +2.49438833476e-005, +2.26128499853e-002
+1.10766040000e+004, +1.73600393605e+000, +8.92409328670e+001, +2.49417024496e-005, +2.29982905336e-002
+1.11578660000e+004, +1.74842278733e+000, +8.92315952677e+001, +2.49371254995e-005, +2.34477317901e-002
+1.12397230000e+004, +1.76057128032e+000, +8.92253031987e+001, +2.49274834644e-005, +2.38039763755e-002
+1.13221810000e+004, +1.77299148770e+000, +8.92165358365e+001, +2.49204617756e-005, +2.42431819076e-002
+1.14052440000e+004, +1.78553760450e+000, +8.92097910925e+001, +2.49139877471e-005, +2.46249026060e-002
+1.14889170000e+004, +1.79834476215e+000, +8.92080560072e+001, +2.49099299956e-005, +2.48559840827e-002
+1.15732030000e+004, +1.81126964795e+000, +8.92040102969e+001, +2.49062164643e-005, +2.51625097766e-002
+1.16581080000e+004, +1.82462945251e+000, +8.92111024973e+001, +2.49072379495e-005, +2.51222716399e-002
+1.17436350000e+004, +1.83807470919e+000, +8.92136293865e+001, +2.49080564555e-005, +2.52263355365e-002
+1.18297900000e+004, +1.85162592382e+000, +8.92189555004e+001, +2.49089829941e-005, +2.52402090619e-002
+1.19165770000e+004, +1.86529115504e+000, +8.92199354044e+001, +2.49100722568e-005, +2.53945866895e-002
+1.20040010000e+004, +1.87904350176e+000, +8.92229524488e+001, +2.49109908615e-005, +2.54828785860e-002
+1.20920660000e+004, +1.89289437108e+000, +8.92171929070e+001, +2.49118205759e-005, +2.58609805780e-002
+1.21807770000e+004, +1.90695804350e+000, +8.92139543700e+001, +2.49141116208e-005, +2.61608975252e-002
+1.22701390000e+004, +1.92108015911e+000, +8.92123426638e+001, +2.49158149465e-005, +2.64086680242e-002
+1.23601560000e+004, +1.93511427329e+000, +8.92098349138e+001, +2.49150346224e-005, +2.66862809277e-002
+1.24508340000e+004, +1.94933356715e+000, +8.92117374195e+001, +2.49153359746e-005, +2.68176512842e-002
+1.25421780000e+004, +1.96348769384e+000, +8.92168093482e+001, +2.49135020774e-005, +2.68385792351e-002
+1.26341910000e+004, +1.97750431352e+000, +8.92271916593e+001, +2.49086750338e-005, +2.66718683789e-002
+1.27268790000e+004, +1.99180612787e+000, +8.92394472612e+001, +2.49061739841e-005, +2.64387557238e-002
+1.28202470000e+004, +2.00621178193e+000, +8.92538799549e+001, +2.49036893906e-005, +2.61246558083e-002
+1.29143010000e+004, +2.02068773180e+000, +8.92588874994e+001, +2.49007311828e-005, +2.61365704656e-002
+1.30090440000e+004, +2.03539533416e+000, +8.92644650692e+001, +2.48993343222e-005, +2.61286827491e-002
+1.31044820000e+004, +2.05003717145e+000, +8.92642406289e+001, +2.48958064975e-005, +2.63246720557e-002
+1.32006210000e+004, +2.06480724745e+000, +8.92634329792e+001, +2.48925505393e-005, +2.65434390646e-002
+1.32974650000e+004, +2.07973695442e+000, +8.92629264510e+001, +2.48899341403e-005, +2.67537474928e-002
+1.33950190000e+004, +2.09482068564e+000, +8.92675159595e+001, +2.48878946945e-005, +2.67799990902e-002
+1.34932890000e+004, +2.11009629794e+000, +8.92658548447e+001, +2.48867928515e-005, +2.70364518808e-002
+1.35922800000e+004, +2.12542849498e+000, +8.92635591537e+001, +2.48850456973e-005, +2.73180550939e-002
+1.36919970000e+004, +2.14082334377e+000, +8.92655027392e+001, +2.48827560495e-005, +2.74433095697e-002
+1.37924460000e+004, +2.15633012800e+000, +8.92642114903e+001, +2.48804527146e-005, +2.76906839543e-002
+1.38936320000e+004, +2.17228502910e+000, +8.92601544105e+001, +2.48819802680e-005, +2.80493755276e-002
+1.39955600000e+004, +2.18814071486e+000, +8.92612384401e+001, +2.48810667580e-005, +2.82127142845e-002
+1.40982350000e+004, +2.20435258400e+000, +8.92569115320e+001, +2.48828385045e-005, +2.85881975659e-002
+1.42016640000e+004, +2.22094621567e+000, +8.92549486287e+001, +2.48875542924e-005, +2.88794812510e-002
+1.43058520000e+004, +2.23742636743e+000, +8.92520981985e+001, +2.48896136282e-005, +2.92050776611e-002
+1.44108040000e+004, +2.25398584564e+000, +8.92506373031e+001, +2.48912071578e-005, +2.94786941200e-002
+1.45165260000e+004, +2.27059168035e+000, +8.92512872516e+001, +2.48919773164e-005, +2.96701182855e-002
+1.46230240000e+004, +2.28730318711e+000, +8.92491747455e+001, +2.48925497280e-005, +2.99728158056e-002
+1.47303030000e+004, +2.30378465039e+000, +8.92536319723e+001, +2.48893458529e-005, +3.00095851861e-002
+1.48383690000e+004, +2.32039448906e+000, +8.92549059499e+001, +2.48862274820e-005, +3.01743586093e-002
+1.49472280000e+004, +2.33716468883e+000, +8.92595716861e+001, +2.48835605885e-005, +3.02021328437e-002
+1.50568860000e+004, +2.35418326308e+000, +8.92626301531e+001, +2.48822283400e-005, +3.02963996539e-002
+1.51673480000e+004, +2.37140608016e+000, +8.92608217136e+001, +2.48817124474e-005, +3.05928861314e-002
+1.52786200000e+004, +2.38916347371e+000, +8.92611940118e+001, +2.48854651248e-005, +3.08064465070e-002
+1.53907090000e+004, +2.40700871638e+000, +8.92596695296e+001, +2.48887400877e-005, +3.11005858523e-002
+1.55036200000e+004, +2.42482930757e+000, +8.92567834714e+001, +2.48903870721e-005, +3.14529743167e-002
+1.56173590000e+004, +2.44265408317e+000, +8.92568010006e+001, +2.48907492514e-005, +3.16834360030e-002
+1.57319330000e+004, +2.46060232470e+000, +8.92579027927e+001, +2.48910401218e-005, +3.18689277911e-002
+1.58473470000e+004, +2.47823762557e+000, +8.92604863115e+001, +2.48868731989e-005, +3.19855978729e-002
+1.59636080000e+004, +2.49583528791e+000, +8.92634693099e+001, +2.48810734622e-005, +3.20827934427e-002
+1.60807220000e+004, +2.51336322836e+000, +8.92646951528e+001, +2.48733384711e-005, +3.22543379473e-002
+1.61986950000e+004, +2.53152558450e+000, +8.92715097951e+001, +2.48706605075e-005, +3.21863480890e-002
+1.63175340000e+004, +2.54975078928e+000, +8.92727194533e+001, +2.48672838570e-005, +3.23642398547e-002
+1.64372440000e+004, +2.56832143111e+000, +8.92722273146e+001, +2.48659736743e-005, +3.26220175214e-002
+1.65578330000e+004, +2.58767127834e+000, +8.92643068991e+001, +2.48708103844e-005, +3.32254768385e-002
+1.66793060000e+004, +2.60689806151e+000, +8.92605249017e+001, +2.48731066926e-005, +3.36444097523e-002
+1.68016710000e+004, +2.62620840166e+000, +8.92561636095e+001, +2.48748369136e-005, +3.40935147680e-002
+1.69249330000e+004, +2.64554772432e+000, +8.92567193186e+001, +2.48755234904e-005, +3.43189215387e-002
+1.70491000000e+004, +2.66492198883e+000, +8.92565717469e+001, +2.48752019021e-005, +3.45771141438e-002
+1.71741770000e+004, +2.68424024817e+000, +8.92646352395e+001, +2.48730939634e-005, +3.44500330173e-002
+1.73001720000e+004, +2.70343516865e+000, +8.92726531305e+001, +2.48685620971e-005, +3.43181000488e-002
+1.74270920000e+004, +2.72289463576e+000, +8.92794500184e+001, +2.48651853134e-005, +3.42421375634e-002
+1.75549420000e+004, +2.74261009649e+000, +8.92841099921e+001, +2.48628495592e-005, +3.42670279401e-002
+1.76837310000e+004, +2.76247993808e+000, +8.92880838488e+001, +2.48606133268e-005, +3.43237058263e-002
+1.78134640000e+004, +2.78263761724e+000, +8.92843491558e+001, +2.48596222261e-005, +3.47555299352e-002
+1.79441490000e+004, +2.80296884706e+000, +8.92758328555e+001, +2.48588392668e-005, +3.54260631565e-002
+1.80757930000e+004, +2.82349138698e+000, +8.92657346857e+001, +2.48584231179e-005, +3.61830323446e-002
+1.82084030000e+004, +2.84432200105e+000, +8.92611113739e+001, +2.48594159500e-005, +3.66794716950e-002
+1.83419850000e+004, +2.86509251871e+000, +8.92570149637e+001, +2.48585580052e-005, +3.71521467663e-002
+1.84765480000e+004, +2.88617116245e+000, +8.92542199394e+001, +2.48590534996e-005, +3.75662595671e-002
+1.86120970000e+004, +2.90734994204e+000, +8.92541165713e+001, +2.48590960104e-005, +3.78471662486e-002
+1.87486410000e+004, +2.92875402557e+000, +8.92543103155e+001, +2.48597327047e-005, +3.81158966783e-002
+1.88861870000e+004, +2.95022662411e+000, +8.92562505711e+001, +2.48596284297e-005, +3.82954514887e-002
+1.90247420000e+004, +2.97194771329e+000, +8.92593907153e+001, +2.48602926924e-005, +3.84145358736e-002
+1.91643130000e+004, +2.99378092669e+000, +8.92609842302e+001, +2.48605519627e-005, +3.86134893276e-002
+1.93049090000e+004, +3.01595430314e+000, +8.92675030457e+001, +2.48623191834e-005, +3.85563680508e-002
+1.94465360000e+004, +3.03831953201e+000, +8.92718894617e+001, +2.48643011311e-005, +3.86097012138e-002
+1.95892010000e+004, +3.06062288962e+000, +8.92782378342e+001, +2.48644451052e-005, +3.85540331286e-002
+1.97329140000e+004, +3.08304541793e+000, +8.92825995245e+001, +2.48642169678e-005, +3.86018041126e-002
+1.98776810000e+004, +3.10556830859e+000, +8.92800693742e+001, +2.48634400428e-005, +3.90209352757e-002
+2.00235090000e+004, +3.12808151739e+000, +8.92769302457e+001, +2.48612764066e-005, +3.94751780384e-002
+2.01704080000e+004, +3.15036523597e+000, +8.92675862242e+001, +2.48559788606e-005, +4.02701224758e-002
+2.03183840000e+004, +3.17295328927e+000, +8.92592672190e+001, +2.48518287136e-005, +4.10195142315e-002
+2.04674460000e+004, +3.19560719993e+000, +8.92548680092e+001, +2.48469532118e-005, +4.15577212628e-002
+2.06176020000e+004, +3.21894381857e+000, +8.92490132334e+001, +2.48460909170e-005, +4.21901056965e-002
+2.07688590000e+004, +3.24228120874e+000, +8.92469410550e+001, +2.48439507819e-005, +4.26132359162e-002
+2.09212260000e+004, +3.26605973452e+000, +8.92535316085e+001, +2.48439281829e-005, +4.25501041701e-002
+2.10747100000e+004, +3.29008876994e+000, +8.92575084638e+001, +2.48444663620e-005, +4.26348103321e-002
+2.12293210000e+004, +3.31440140054e+000, +8.92623823110e+001, +2.48458089492e-005, +4.26679520174e-002
+2.13850660000e+004, +3.33869831102e+000, +8.92602697437e+001, +2.48456588381e-005, +4.31038301013e-002
+2.15419530000e+004, +3.36332872564e+000, +8.92573873038e+001, +2.48466530055e-005, +4.35910062736e-002
+2.16999920000e+004, +3.38821966502e+000, +8.92474420028e+001, +2.48481839661e-005, +4.45016807918e-002
+2.18591890000e+004, +3.41335627768e+000, +8.92340981113e+001, +2.48501437023e-005, +4.56267142968e-002
+2.20195550000e+004, +3.43867211203e+000, +8.92231630897e+001, +2.48520627190e-005, +4.66213323077e-002
+2.21810970000e+004, +3.46397990491e+000, +8.92139052513e+001, +2.48525867355e-005, +4.75241109942e-002
+2.23438250000e+004, +3.48936165218e+000, +8.92081007494e+001, +2.48523300152e-005, +4.82258017405e-002
+2.25077460000e+004, +3.51497790748e+000, +8.92080612149e+001, +2.48524517570e-005, +4.85822642465e-002
+2.26728700000e+004, +3.54048402493e+000, +8.92103578855e+001, +2.48504940163e-005, +4.87928921404e-002
+2.28392050000e+004, +3.56630530333e+000, +8.92133360226e+001, +2.48494472510e-005, +4.89633930425e-002
+2.30067610000e+004, +3.59223639853e+000, +8.92160237833e+001, +2.48478549625e-005, +4.91509156273e-002
+2.31755450000e+004, +3.61807304489e+000, +8.92165686088e+001, +2.48443081028e-005, +4.94700255194e-002
+2.33455680000e+004, +3.64439567099e+000, +8.92189283560e+001, +2.48428177460e-005, +4.96798538554e-002
+2.35168380000e+004, +3.67054612094e+000, +8.92237106295e+001, +2.48388809884e-005, +4.97299938157e-002
+2.36893650000e+004, +3.69682868519e+000, +8.92260447574e+001, +2.48345567999e-005, +4.99354918399e-002
+2.38631580000e+004, +3.72348007074e+000, +8.92263884243e+001, +2.48314259755e-005, +5.02731577635e-002
+2.40382250000e+004, +3.75032160439e+000, +8.92277415546e+001, +2.48282893159e-005, +5.05470012860e-002
+2.42145770000e+004, +3.77756921715e+000, +8.92237906234e+001, +2.48265184682e-005, +5.11747109687e-002
+2.43922230000e+004, +3.80530985634e+000, +8.92197040182e+001, +2.48266716432e-005, +5.18219008708e-002
+2.45711720000e+004, +3.83328778959e+000, +8.92151669852e+001, +2.48270397805e-005, +5.25064281668e-002
+2.47514330000e+004, +3.86135862722e+000, +8.92085169181e+001, +2.48266707213e-005, +5.33390566131e-002
+2.49330180000e+004, +3.88972010335e+000, +8.92054324228e+001, +2.48268642870e-005, +5.39402106396e-002
+2.51159340000e+004, +3.91820376184e+000, +8.92002370080e+001, +2.48265004429e-005, +5.46904611857e-002
+2.53001920000e+004, +3.94692026610e+000, +8.91952517266e+001, +2.48262902375e-005, +5.54346736076e-002
+2.54858020000e+004, +3.97579994994e+000, +8.91940803407e+001, +2.48258076752e-005, +5.59215654463e-002
+2.56727740000e+004, +4.00479188854e+000, +8.91913749903e+001, +2.48247014041e-005, +5.65184277824e-002
+2.58611170000e+004, +4.03419716155e+000, +8.91863881316e+001, +2.48248243162e-005, +5.72845052424e-002
+2.60508420000e+004, +4.06366904563e+000, +8.91854341078e+001, +2.48240596699e-005, +5.77706547427e-002
+2.62419590000e+004, +4.09351483773e+000, +8.91839524013e+001, +2.48242534724e-005, +5.83008040646e-002
+2.64344790000e+004, +4.12383378468e+000, +8.91763118739e+001, +2.48259370017e-005, +5.92824803232e-002
+2.66284100000e+004, +4.15423376755e+000, +8.91710495015e+001, +2.48267786984e-005, +6.01010064818e-002
+2.68237640000e+004, +4.18475848913e+000, +8.91683548609e+001, +2.48270466491e-005, +6.07394101616e-002
+2.70205520000e+004, +4.21541174711e+000, +8.91645547151e+001, +2.48267428590e-005, +6.14638827512e-002
+2.72187830000e+004, +4.24633631985e+000, +8.91622167477e+001, +2.48267223835e-005, +6.20880406049e-002
+2.74184680000e+004, +4.27670303096e+000, +8.91604439600e+001, +2.48221511292e-005, +6.26643603637e-002
+2.76196190000e+004, +4.30724074489e+000, +8.91598798077e+001, +2.48173214790e-005, +6.31542198908e-002
+2.78222450000e+004, +4.33817757910e+000, +8.91613798838e+001, +2.48135421658e-005, +6.34942594136e-002
+2.80263570000e+004, +4.36951855548e+000, +8.91620505295e+001, +2.48107916974e-005, +6.39018313076e-002
+2.82319670000e+004, +4.40121156175e+000, +8.91603701803e+001, +2.48087341561e-005, +6.44943875341e-002
+2.84390860000e+004, +4.43369590027e+000, +8.91609904168e+001, +2.48098326307e-005, +6.49224155388e-002
+2.86477240000e+004, +4.46693705643e+000, +8.91661303138e+001, +2.48138323991e-005, +6.50084864893e-002
+2.88578920000e+004, +4.50008516684e+000, +8.91658772825e+001, +2.48159118075e-005, +6.55107707885e-002
+2.90696030000e+004, +4.53326815957e+000, +8.91664138339e+001, +2.48168397354e-005, +6.59513902648e-002
+2.92828660000e+004, +4.56677515897e+000, +8.91678279414e+001, +2.48182052870e-005, +6.63261605758e-002
+2.94976940000e+004, +4.60019921495e+000, +8.91674676825e+001, +2.48177757744e-005, +6.68405209005e-002
+2.97140990000e+004, +4.63358740610e+000, +8.91667243614e+001, +2.48158408297e-005, +6.73857556328e-002
+2.99320900000e+004, +4.66724231600e+000, +8.91669022368e+001, +2.48140428394e-005, +6.78607073440e-002
+3.01516820000e+004, +4.70118882035e+000, +8.91657652028e+001, +2.48124841044e-005, +6.84475674282e-002
+3.03728840000e+004, +4.73536062941e+000, +8.91616459909e+001, +2.48107942387e-005, +6.92855031616e-002
+3.05957080000e+004, +4.76967214453e+000, +8.91614946975e+001, +2.48085649367e-005, +6.98001259278e-002
+3.08201680000e+004, +4.80426631658e+000, +8.91564058368e+001, +2.48064791777e-005, +7.07330387777e-002
+3.10462740000e+004, +4.83919825168e+000, +8.91520812668e+001, +2.48048440604e-005, +7.16125535409e-002
+3.12740390000e+004, +4.87437219286e+000, +8.91478046927e+001, +2.48031480606e-005, +7.24968573219e-002
+3.15034750000e+004, +4.90978187145e+000, +8.91435038323e+001, +2.48013511903e-005, +7.33920155507e-002
+3.17345950000e+004, +4.94554812814e+000, +8.91408817135e+001, +2.48000627848e-005, +7.41529595907e-002
+3.19674090000e+004, +4.98175609000e+000, +8.91381707428e+001, +2.47996768637e-005, +7.49315444815e-002
+3.22019320000e+004, +5.01845565571e+000, +8.91380437645e+001, +2.48004263621e-005, +7.54946702538e-002
+3.24381760000e+004, +5.05527278919e+000, +8.91375837128e+001, +2.48004237904e-005, +7.60891116672e-002
+3.26761520000e+004, +5.09229053432e+000, +8.91356637611e+001, +2.48000741425e-005, +7.68169024957e-002
+3.29158740000e+004, +5.12956823870e+000, +8.91325720343e+001, +2.47996629956e-005, +7.76559985207e-002
+3.31573550000e+004, +5.16706925230e+000, +8.91284268854e+001, +2.47990066537e-005, +7.85974987727e-002
+3.34006080000e+004, +5.20413309428e+000, +8.91200911514e+001, +2.47949329757e-005, +7.99183256234e-002
+3.36456450000e+004, +5.24176582600e+000, +8.91118867968e+001, +2.47922939997e-005, +8.12467351500e-002
+3.38924800000e+004, +5.27960799112e+000, +8.91042346379e+001, +2.47893638892e-005, +8.25383186669e-002
+3.41411260000e+004, +5.31785130403e+000, +8.91012668010e+001, +2.47870618493e-005, +8.34116154525e-002
+3.43915960000e+004, +5.35649401561e+000, +8.90973544656e+001, +2.47853198983e-005, +8.43834475137e-002
+3.46439030000e+004, +5.39571041277e+000, +8.90969329834e+001, +2.47849475292e-005, +8.50409297050e-002
+3.48980610000e+004, +5.43539837987e+000, +8.90985972335e+001, +2.47854304941e-005, +8.55085849123e-002
+3.51540840000e+004, +5.47530688345e+000, +8.91001726293e+001, +2.47855893925e-005, +8.59858878129e-002
+3.54119860000e+004, +5.51525304995e+000, +8.90997745109e+001, +2.47845868210e-005, +8.66515324590e-002
