!Keysight Technologies,E4990A,MY54302543,A.03.06
!Date: Tue Mar 24 14:07:18 2026

BEGIN CH1_DATA
DCV(V), -5.838e-005, DCI(A), +2.609e-006
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data, Ls(H)-data, Rs(Ohm)-data
+1.49484700000e+003, +2.34732341855e-001, +8.82253410590e+001, +2.49797427738e-005, +7.26935297438e-003
+1.50581400000e+003, +2.36543108980e-001, +8.82336622960e+001, +2.49892196394e-005, +7.29109259809e-003
+1.51686100000e+003, +2.38460621432e-001, +8.82707615373e+001, +2.50088194427e-005, +7.19586474375e-003
+1.52798900000e+003, +2.40496391916e-001, +8.82984305865e+001, +2.50389967297e-005, +7.14120930269e-003
+1.53919900000e+003, +2.42510139143e-001, +8.82877463298e+001, +2.50646301675e-005, +7.24620687749e-003
+1.55049100000e+003, +2.44493374755e-001, +8.83205114720e+001, +2.50859973039e-005, +7.16571134558e-003
+1.56186600000e+003, +2.46438249325e-001, +8.82948166832e+001, +2.51010630978e-005, +7.33318168280e-003
+1.57332400000e+003, +2.48444068959e-001, +8.82819252579e+001, +2.51209070884e-005, +7.44874262771e-003
+1.58486700000e+003, +2.50170300273e-001, +8.82295747747e+001, +2.51105193325e-005, +7.72896950448e-003
+1.59649400000e+003, +2.51842171898e-001, +8.81425821872e+001, +2.50930267974e-005, +8.16280380562e-003
+1.60820600000e+003, +2.53401857138e-001, +8.80661594918e+001, +2.50634486396e-005, +8.55116632420e-003
+1.62000500000e+003, +2.55240788194e-001, +8.80100710803e+001, +2.50606234902e-005, +8.86293766929e-003
+1.63188900000e+003, +2.57153336657e-001, +8.79853105133e+001, +2.50641589963e-005, +9.04041051589e-003
+1.64386100000e+003, +2.59060027406e-001, +8.79428411620e+001, +2.50654473252e-005, +9.29934344855e-003
+1.65592100000e+003, +2.61289546388e-001, +8.79485885104e+001, +2.50971339300e-005, +9.35318218528e-003
+1.66807000000e+003, +2.63526470918e-001, +8.79689754669e+001, +2.51279575189e-005, +9.33954730185e-003
+1.68030700000e+003, +2.65702100683e-001, +8.79922024647e+001, +2.51512615770e-005, +9.30900757985e-003
+1.69263400000e+003, +2.67712953255e-001, +8.80208208278e+001, +2.51574893597e-005, +9.24582123279e-003
+1.70505200000e+003, +2.69733655262e-001, +8.80575196160e+001, +2.51633237841e-005, +9.14294165099e-003
+1.71756100000e+003, +2.71501268998e-001, +8.80882620822e+001, +2.51442120635e-005, +9.05726342983e-003
+1.73016100000e+003, +2.73218430702e-001, +8.81555474978e+001, +2.51199363821e-005, +8.79386557870e-003
+1.74285400000e+003, +2.74895136199e-001, +8.82017672309e+001, +2.50906694919e-005, +8.62619020955e-003
+1.75564100000e+003, +2.76606297760e-001, +8.82748037076e+001, +2.50639536246e-005, +8.32745551347e-003
+1.76852000000e+003, +2.78401035433e-001, +8.83293392834e+001, +2.50435766242e-005, +8.11661473073e-003
+1.78149500000e+003, +2.80467197298e-001, +8.83665335226e+001, +2.50461559709e-005, +7.99485949181e-003
+1.79456400000e+003, +2.82417100998e-001, +8.84425921920e+001, +2.50375431557e-005, +7.67568643069e-003
+1.80773000000e+003, +2.84545226350e-001, +8.84779232139e+001, +2.50428993940e-005, +7.55812641787e-003
+1.82099200000e+003, +2.86647452501e-001, +8.85398261630e+001, +2.50448902453e-005, +7.30437405036e-003
+1.83435100000e+003, +2.88851335086e-001, +8.85307412080e+001, +2.50535493796e-005, +7.40631955750e-003
+1.84780900000e+003, +2.91014829324e-001, +8.85454659165e+001, +2.50575273886e-005, +7.38702792333e-003
+1.86136500000e+003, +2.93256565250e-001, +8.85166620664e+001, +2.50663311753e-005, +7.59130951846e-003
+1.87502000000e+003, +2.95485672590e-001, +8.84559949971e+001, +2.50722289530e-005, +7.96177561362e-003
+1.88877600000e+003, +2.97690642224e-001, +8.84351074809e+001, +2.50751103307e-005, +8.12967283092e-003
+1.90263300000e+003, +3.00104465184e-001, +8.83765624086e+001, +2.50936136549e-005, +8.50212156343e-003
+1.91659100000e+003, +3.02472648990e-001, +8.83503093354e+001, +2.51071117090e-005, +8.70775069863e-003
+1.93065200000e+003, +3.04987002700e-001, +8.83101677885e+001, +2.51309295341e-005, +8.99371912820e-003
+1.94481600000e+003, +3.07672005289e-001, +8.82909202756e+001, +2.51672842630e-005, +9.17620834931e-003
+1.95908300000e+003, +3.10312476626e-001, +8.82666066445e+001, +2.51980976429e-005, +9.38658205749e-003
+1.97345600000e+003, +3.12692701042e-001, +8.82696587296e+001, +2.52064885032e-005, +9.44193180703e-003
+1.98793400000e+003, +3.15232496206e-001, +8.82466431613e+001, +2.52258475471e-005, +9.64519192503e-003
+2.00251800000e+003, +3.17335979950e-001, +8.82429695848e+001, +2.52091836007e-005, +9.72988914158e-003
+2.01720900000e+003, +3.19385630000e-001, +8.82412286440e+001, +2.51872042555e-005, +9.80243380145e-003
+2.03200800000e+003, +3.21451028542e-001, +8.82392177113e+001, +2.51654341408e-005, +9.87710081737e-003
+2.04691500000e+003, +3.23530103668e-001, +8.82446217598e+001, +2.51438146373e-005, +9.91048326034e-003
+2.06193200000e+003, +3.25704323408e-001, +8.82822417291e+001, +2.51289364560e-005, +9.76332795522e-003
+2.07705900000e+003, +3.27959714739e-001, +8.83162970892e+001, +2.51191104093e-005, +9.63608945226e-003
+2.09229700000e+003, +3.30424696637e-001, +8.83963705160e+001, +2.51246009128e-005, +9.24692205582e-003
+2.10764700000e+003, +3.33072189204e-001, +8.85082299188e+001, +2.51427866522e-005, +8.67098756802e-003
+2.12310900000e+003, +3.35525580100e-001, +8.85492551991e+001, +2.51439928613e-005, +8.49469166611e-003
+2.13868500000e+003, +3.38026805079e-001, +8.85933473190e+001, +2.51474268075e-005, +8.29796804420e-003
+2.15437500000e+003, +3.40554203091e-001, +8.86249195921e+001, +2.51512740922e-005, +8.17240751734e-003
+2.17018000000e+003, +3.43128445066e-001, +8.86253748398e+001, +2.51568403925e-005, +8.23145700506e-003
+2.18610100000e+003, +3.45747639000e-001, +8.85922598088e+001, +2.51639047919e-005, +8.49406157037e-003
+2.20213900000e+003, +3.48405432411e-001, +8.85699613630e+001, +2.51724238810e-005, +8.69490749275e-003
+2.21829500000e+003, +3.51030935112e-001, +8.85709383300e+001, +2.51774140526e-005, +8.75444663527e-003
+2.23456900000e+003, +3.53592579111e-001, +8.85412623893e+001, +2.51761161703e-005, +9.00141470695e-003
+2.25096200000e+003, +3.56306851022e-001, +8.85247210537e+001, +2.51844319851e-005, +9.17334433700e-003
+2.26747600000e+003, +3.58994278857e-001, +8.85385059373e+001, +2.51897384109e-005, +9.15619121211e-003
+2.28411100000e+003, +3.61513292860e-001, +8.85398345082e+001, +2.51817641153e-005, +9.21205893768e-003
+2.30086800000e+003, +3.64212415476e-001, +8.85297465510e+001, +2.51848965969e-005, +9.34494301917e-003
+2.31774800000e+003, +3.66765968488e-001, +8.85284111944e+001, +2.51767511079e-005, +9.41900711448e-003
+2.33475100000e+003, +3.69248912739e-001, +8.85396571819e+001, +2.51627270498e-005, +9.41031994313e-003
+2.35188000000e+003, +3.71467023909e-001, +8.85408216196e+001, +2.51295310336e-005, +9.45930159963e-003
+2.36913400000e+003, +3.73767622560e-001, +8.85602773222e+001, +2.51012333250e-005, +9.39100749496e-003
+2.38651500000e+003, +3.76084560649e-001, +8.85529733038e+001, +2.50728065191e-005, +9.49714889491e-003
+2.40402300000e+003, +3.78651010466e-001, +8.85756071586e+001, +2.50603085921e-005, +9.41242511887e-003
+2.42166000000e+003, +3.81342791809e-001, +8.86105691346e+001, +2.50550223707e-005, +9.24671101255e-003
+2.43942600000e+003, +3.84258727720e-001, +8.87003871102e+001, +2.50636601223e-005, +8.71521041647e-003
+2.45732200000e+003, +3.87174039069e-001, +8.87915858704e+001, +2.50707711677e-005, +8.16520689541e-003
+2.47535000000e+003, +3.90285271253e-001, +8.88756616379e+001, +2.50889251207e-005, +7.65823493520e-003
+2.49351000000e+003, +3.93219221581e-001, +8.89124201655e+001, +2.50937467875e-005, +7.46357966392e-003
+2.51180300000e+003, +3.96276813431e-001, +8.89530241257e+001, +2.51050278473e-005, +7.24083305503e-003
+2.53023000000e+003, +3.99316603977e-001, +8.89033332644e+001, +2.51129621285e-005, +7.64263095435e-003
+2.54879300000e+003, +4.02248083802e-001, +8.87985747793e+001, +2.51121597252e-005, +8.43405190939e-003
+2.56749100000e+003, +4.05286802170e-001, +8.87153867083e+001, +2.51168109386e-005, +9.08606530502e-003
+2.58632700000e+003, +4.08017490827e-001, +8.86440670793e+001, +2.51011635173e-005, +9.65503415644e-003
+2.60530100000e+003, +4.11072577099e-001, +8.86094975422e+001, +2.51045721319e-005, +9.97527785987e-003
+2.62441500000e+003, +4.13949729255e-001, +8.85780985016e+001, +2.50958247858e-005, +1.02718791872e-002
+2.64366800000e+003, +4.16913276766e-001, +8.86219472734e+001, +2.50918866035e-005, +1.00264468401e-002
